CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing,GillSize,GillColor,StalkShape,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilType,VeilColor,RingNumber,RingType,SporeColor,Population,Habitat,Edible
f,y,g,t,f,f,w,b,r,b,b,s,f,p,o,u,w,n,f,y,v,d,0
x,s,u,b,y,d,d,n,e,t,r,f,k,g,p,p,w,n,e,y,n,l,0
b,s,r,b,m,n,w,b,w,t,e,f,y,g,p,u,y,n,l,y,c,m,0
f,f,u,b,n,a,d,b,r,t,c,k,s,p,w,u,o,n,e,h,n,p,0
s,g,y,t,f,f,w,b,h,b,?,f,s,e,n,u,w,o,f,h,n,p,0
f,f,w,t,a,f,d,b,n,t,e,k,s,p,n,u,n,t,z,y,a,p,0
f,y,e,t,f,d,w,b,b,t,e,s,y,o,n,p,n,n,c,o,a,u,0
b,g,w,t,y,n,w,n,w,t,e,s,y,n,b,u,w,t,s,w,v,d,0
x,y,p,t,l,f,c,b,p,t,u,y,k,n,g,p,o,n,z,u,s,u,0
b,g,b,b,c,d,w,b,y,b,e,y,f,c,n,p,y,o,z,u,t,g,0
c,s,p,b,s,d,w,n,e,b,c,f,f,p,g,p,o,o,e,y,s,l,0
x,f,b,b,y,a,c,b,y,t,u,y,k,n,c,p,w,t,f,b,v,p,0
s,s,p,b,p,d,d,n,o,t,u,y,f,n,c,u,n,t,z,o,t,g,0
b,f,y,t,f,d,c,n,w,b,e,y,k,o,o,p,n,o,z,y,n,m,0
x,y,u,t,a,n,w,n,g,t,e,k,f,e,b,p,n,o,c,k,a,u,0
c,g,r,t,l,d,c,n,u,b,c,s,s,b,y,u,y,t,l,o,n,g,0
k,y,w,t,f,f,c,b,b,t,e,k,y,n,o,p,o,o,f,o,t,d,0
k,s,p,b,m,n,w,b,e,t,b,y,y,p,y,p,n,n,p,b,n,m,0
k,y,b,t,l,d,w,n,n,b,b,f,k,b,p,u,n,o,n,k,t,l,0
c,s,w,b,a,f,c,n,b,t,?,f,s,p,w,u,y,t,l,y,t,d,0
b,s,p,t,a,f,c,n,e,b,c,f,k,b,g,u,y,n,f,r,t,g,0
s,y,u,b,p,n,d,b,k,t,e,s,s,b,y,u,w,t,z,o,v,w,0
f,s,g,b,l,f,w,b,y,t,e,f,y,b,p,p,w,t,z,y,n,g,0
b,f,c,t,y,d,d,n,w,b,c,f,y,e,o,u,y,o,l,o,a,p,0
k,s,p,t,y,n,c,n,g,t,u,s,k,y,e,p,w,o,c,h,n,m,0
s,f,e,b,s,d,w,n,y,b,r,s,s,y,o,p,o,t,p,u,a,w,0
b,g,p,t,c,n,w,n,k,b,b,k,k,y,g,p,w,n,c,n,s,d,0
b,f,p,t,m,a,w,n,r,b,z,k,s,y,y,p,y,n,l,h,s,p,0
c,y,p,t,l,d,w,b,w,t,b,s,y,g,o,u,w,n,c,o,n,u,0
b,g,u,t,s,d,c,b,y,b,?,f,f,g,o,p,n,o,c,n,a,w,0
k,y,w,b,f,a,d,b,b,t,r,f,y,c,o,u,o,t,p,o,n,p,0
f,g,b,b,p,d,d,n,e,t,r,k,f,w,w,p,n,o,p,b,s,l,0
f,g,r,t,c,f,c,n,b,b,?,s,k,g,p,u,y,n,c,w,c,l,0
c,f,r,b,m,n,w,n,b,t,b,s,s,c,n,p,w,o,p,h,n,g,0
k,g,e,b,l,a,d,n,o,t,z,k,k,o,b,p,n,t,f,o,t,w,0
k,s,b,t,p,f,w,b,r,t,c,k,s,c,b,u,n,t,f,y,c,p,0
f,g,e,t,p,d,c,n,h,b,?,f,s,n,y,p,n,o,c,r,a,u,0
k,f,u,b,m,a,c,n,w,b,z,k,k,c,n,u,n,o,n,w,v,u,0
b,f,n,b,m,f,c,b,r,t,u,f,k,o,b,p,y,t,l,h,n,l,0
b,g,e,t,f,n,d,n,o,b,z,f,k,g,g,u,n,n,p,u,v,m,0
k,s,n,b,a,f,c,n,n,b,c,s,y,n,b,u,o,n,p,o,s,w,0
c,s,n,b,p,d,c,n,g,t,c,f,y,g,c,u,o,t,f,y,n,d,0
s,y,p,t,l,d,d,n,w,b,b,f,k,g,e,p,y,o,s,u,v,m,0
c,y,w,b,m,f,d,n,n,t,?,f,f,c,b,u,n,o,f,w,a,m,0
f,g,g,b,p,a,d,n,u,b,e,f,k,c,b,u,y,t,z,r,v,u,0
s,y,n,t,a,a,c,n,y,t,u,s,s,g,p,u,o,t,f,y,t,p,0
c,s,y,t,l,n,d,n,h,t,z,f,k,c,c,p,w,n,l,u,c,p,0
k,g,e,b,l,a,c,b,w,t,e,f,s,b,b,u,n,n,e,b,s,w,0
k,y,b,b,s,a,d,n,w,t,b,k,s,c,b,p,w,o,p,w,c,u,0
c,f,w,b,c,n,w,n,o,b,r,s,s,y,b,u,y,n,e,n,n,p,0
s,s,b,t,p,a,w,n,u,b,e,y,s,c,n,p,y,o,p,w,s,u,0
c,g,u,t,a,n,c,b,k,t,b,k,y,w,y,p,n,n,z,o,a,m,0
k,g,p,b,m,n,d,n,o,b,b,k,k,n,b,u,y,t,n,y,a,m,0
k,s,e,b,l,n,d,n,o,b,e,f,k,g,w,u,n,o,c,r,a,u,0
c,s,g,b,y,a,w,b,r,t,b,y,f,e,y,p,y,n,f,k,a,m,0
k,y,c,b,f,f,d,b,o,t,c,s,f,e,n,p,w,n,c,o,a,m,0
k,s,p,b,n,d,c,b,k,t,b,s,y,g,b,p,y,o,s,r,c,u,0
x,y,u,t,y,n,w,n,r,t,z,s,y,o,w,u,y,o,n,k,s,w,0
f,y,r,b,a,a,d,b,b,b,z,f,y,b,g,p,o,n,l,k,a,g,0
c,y,g,t,m,d,d,n,w,b,c,s,y,n,b,p,o,t,l,w,n,p,0
k,s,c,b,n,d,c,n,p,t,b,s,s,w,b,p,y,o,s,r,t,g,0
f,s,p,t,f,f,w,b,o,b,b,s,y,c,w,p,o,n,l,n,a,m,0
b,f,c,t,p,n,w,b,h,b,r,s,f,w,g,u,o,t,c,w,c,m,0
b,y,y,t,c,f,c,n,b,t,b,y,s,n,y,u,w,n,z,y,a,g,0
b,y,b,t,a,n,w,n,p,t,b,s,y,g,w,u,n,t,p,h,c,m,0
b,g,g,t,f,d,c,n,y,t,u,s,k,c,n,u,n,t,z,n,c,m,0
x,s,c,b,n,f,w,b,g,t,e,f,y,e,b,p,o,n,e,u,c,w,0
k,f,r,t,l,d,d,n,r,b,r,k,y,g,w,p,w,o,p,o,t,d,0
s,g,y,t,m,f,c,b,u,t,b,k,s,n,w,p,y,o,e,k,c,l,0
b,y,c,t,m,f,w,b,y,b,u,k,f,y,g,p,w,o,e,w,s,m,0
c,f,p,b,y,a,w,b,p,b,z,f,y,e,y,p,y,n,c,u,a,p,0
c,f,r,b,a,f,c,b,k,b,u,k,s,o,e,u,n,n,l,h,c,d,0
x,f,w,t,y,n,c,b,y,b,u,y,s,e,c,u,w,n,c,h,v,m,0
k,s,n,b,s,f,d,b,h,b,z,k,y,n,p,p,o,t,f,k,v,g,0
f,y,c,t,y,f,d,n,h,t,c,s,y,o,o,u,n,n,p,h,n,l,0
k,s,p,t,n,n,c,n,p,b,b,y,s,w,w,p,w,n,z,k,c,g,0
k,g,y,t,l,a,d,b,p,t,u,s,s,p,g,p,y,o,n,y,n,p,0
b,g,p,b,a,f,d,n,k,t,c,y,f,p,b,p,o,n,c,w,c,g,0
s,y,u,t,y,f,w,b,b,t,u,k,y,b,e,p,o,o,p,o,n,p,0
k,f,e,t,l,d,w,n,r,t,?,k,s,b,c,u,y,o,l,h,n,d,0
x,g,e,t,l,d,d,n,n,t,u,f,k,w,b,p,w,o,n,w,v,u,0
f,s,n,b,p,n,w,b,h,t,e,k,k,w,c,u,w,t,c,w,c,p,0
b,s,w,t,l,d,c,n,g,b,c,y,k,c,n,u,y,n,p,k,s,d,0
k,f,n,b,p,d,w,n,k,t,z,f,f,p,p,p,y,n,f,h,s,p,0
c,g,y,b,y,d,d,b,k,t,r,s,s,p,g,u,o,o,f,n,t,w,0
x,g,r,b,s,n,w,n,g,b,z,f,y,b,b,p,y,n,p,u,t,u,0
b,g,e,t,m,f,w,n,p,t,c,y,f,y,b,u,y,o,p,n,n,l,0
c,g,u,t,p,f,w,n,p,b,b,f,f,e,c,p,w,t,p,y,c,m,0
b,g,g,t,n,f,d,n,o,t,z,s,s,e,o,u,n,o,f,h,t,u,0
s,g,e,b,s,f,c,n,e,b,u,s,y,y,e,p,n,o,n,w,s,l,0
s,s,e,t,s,d,d,b,b,b,r,k,f,b,c,p,y,n,f,h,t,m,0
k,y,y,t,f,a,w,n,u,b,?,y,k,w,p,p,w,n,p,o,n,d,0
f,f,u,b,m,f,w,n,h,t,u,f,s,g,w,p,y,n,c,k,a,d,0
x,s,y,b,y,a,d,b,b,b,c,y,k,o,n,u,y,t,n,k,v,w,0
c,f,u,b,f,n,c,n,y,t,r,s,f,n,b,u,y,t,e,r,t,d,0
b,g,g,b,f,n,w,n,w,t,?,s,s,o,w,u,n,t,e,r,s,u,0
b,f,r,t,y,n,c,n,e,t,c,f,s,g,n,u,y,o,l,o,s,m,0
x,g,y,b,s,a,c,b,u,b,c,k,y,n,w,u,n,o,c,u,t,m,0
k,g,b,b,s,d,c,n,u,b,c,y,y,p,o,p,w,t,n,n,s,m,0
f,s,p,t,p,a,c,n,h,t,?,y,s,w,y,p,w,n,n,o,a,p,0
k,g,w,t,c,f,d,b,p,b,u,s,f,o,b,p,n,o,e,r,a,w,0
f,g,e,t,m,a,d,n,p,b,u,f,f,p,c,u,w,t,z,y,n,d,0
x,g,y,t,n,d,w,n,w,t,b,f,f,e,b,u,y,o,z,k,a,w,0
f,g,c,t,a,d,d,b,b,t,?,k,s,c,c,p,n,n,s,r,c,w,0
b,g,c,b,c,a,w,b,w,b,u,k,y,y,p,u,y,o,c,o,v,d,0
x,f,p,t,m,f,w,b,n,t,c,y,f,g,e,u,y,n,e,k,a,g,0
x,s,p,t,y,d,c,b,k,t,c,y,s,g,w,p,w,o,f,h,s,p,0
s,y,w,b,a,d,c,n,p,b,?,y,f,p,b,u,n,n,s,b,s,m,0
b,y,c,t,f,f,d,n,o,b,e,k,y,n,w,u,n,n,c,o,s,w,0
c,g,p,t,n,a,c,b,h,b,r,s,s,g,w,u,o,o,z,y,s,m,0
k,g,g,b,p,n,c,b,e,t,r,k,s,e,c,p,o,o,c,h,v,w,0
x,s,r,b,s,a,c,b,w,b,z,y,f,g,w,u,w,n,n,u,s,d,0
b,y,p,t,l,a,c,b,w,t,e,y,k,p,p,u,y,n,z,w,a,l,0
c,f,y,t,s,d,d,n,b,t,r,k,y,y,g,u,n,n,p,o,n,l,0
c,s,c,t,c,a,d,n,y,b,b,f,f,y,o,u,o,t,s,u,a,p,0
c,g,y,b,p,f,w,n,k,t,r,k,y,n,y,u,w,n,c,w,t,u,0
s,f,b,t,c,d,d,n,e,b,u,f,f,w,c,u,w,o,z,r,v,p,0
x,s,b,t,s,d,c,n,e,t,b,f,y,b,e,p,y,t,s,h,v,m,0
c,g,w,t,a,d,c,b,b,b,b,k,y,e,g,p,n,n,l,o,t,p,0
k,s,n,t,n,a,w,b,k,t,?,s,s,g,p,u,w,t,e,w,v,m,0
f,s,b,b,p,a,w,b,b,b,b,f,f,c,o,p,w,n,s,b,s,g,0
k,y,r,b,n,d,w,b,e,b,?,s,k,n,e,p,y,n,l,h,v,m,0
k,g,u,t,y,n,w,b,y,t,c,y,k,c,c,u,y,o,e,o,a,m,0
c,s,p,b,n,f,w,n,k,b,r,k,s,w,y,p,o,n,f,n,t,p,0
s,y,g,t,n,d,w,b,o,b,r,f,s,c,p,p,w,o,f,u,s,u,0
x,s,p,b,a,a,w,b,w,t,?,k,y,g,c,p,n,n,e,n,t,m,0
b,f,u,t,m,f,c,b,n,t,?,f,s,g,o,u,o,n,l,k,t,l,0
c,f,u,b,a,n,w,b,b,b,u,f,f,o,y,u,o,o,e,u,v,l,0
c,s,b,t,m,a,c,b,k,b,?,y,y,p,w,p,n,n,c,r,v,m,0
s,y,b,t,f,f,c,n,n,b,c,k,y,g,b,u,n,o,f,k,c,g,0
s,f,y,t,l,d,d,n,p,b,e,f,k,o,b,p,w,o,n,o,a,m,0
c,g,e,b,s,n,w,n,h,b,u,s,f,w,w,p,w,n,e,n,c,u,0
s,y,p,b,p,d,d,n,k,t,r,s,y,b,p,u,y,n,l,u,v,u,0
s,s,w,t,s,d,w,n,e,b,u,s,f,n,o,u,o,o,p,r,n,d,0
f,g,p,b,c,d,c,n,r,b,z,y,f,g,n,u,n,t,f,b,n,u,0
f,g,r,t,n,f,c,b,g,t,z,k,k,c,e,p,y,n,n,n,a,w,0
c,g,r,b,m,d,c,b,k,t,u,s,k,y,b,p,o,t,z,n,t,w,0
f,s,n,b,s,d,w,n,y,t,e,k,y,w,b,u,w,n,z,r,t,w,0
b,y,u,b,c,d,w,n,g,t,e,f,s,w,y,p,o,o,z,h,s,l,0
c,s,u,t,c,f,w,b,o,t,c,k,f,g,b,p,w,n,c,b,n,w,0
f,s,p,b,s,f,c,n,n,t,u,k,f,b,c,p,o,n,n,b,a,m,0
s,y,n,t,m,f,c,b,g,t,?,k,s,y,e,u,y,o,e,k,v,w,0
s,y,p,t,f,a,c,b,g,b,r,k,s,w,b,u,w,n,e,w,c,d,0
b,s,u,t,y,d,w,b,g,t,z,s,k,b,e,u,n,o,p,r,s,l,0
b,s,w,b,f,a,d,b,k,b,b,k,f,g,b,p,w,t,s,w,n,g,0
s,y,n,t,l,n,d,n,p,t,b,y,k,g,c,p,y,n,e,o,s,l,0
x,g,r,t,a,a,w,n,o,b,e,f,y,e,o,p,n,n,l,w,s,d,0
x,s,c,t,l,n,w,b,y,b,u,s,k,b,w,u,n,n,n,o,n,g,0
f,g,u,b,f,f,c,b,b,b,b,s,k,y,p,p,n,t,e,u,c,w,0
s,f,e,b,y,f,w,n,h,b,r,s,f,g,e,u,y,o,n,y,s,p,0
c,y,u,t,n,a,d,n,o,b,r,k,s,y,e,u,w,n,n,n,a,u,0
c,y,p,b,n,a,w,b,y,t,e,k,y,n,o,p,y,t,z,n,n,l,0
k,y,r,b,y,a,w,b,w,t,r,k,f,p,b,p,y,n,p,w,t,g,0
c,g,e,t,f,f,d,n,e,t,e,y,s,e,y,p,y,o,l,o,c,l,0
c,f,y,b,a,a,w,b,n,b,r,s,y,w,n,p,w,t,f,r,t,g,0
f,f,c,t,m,n,c,b,e,b,u,f,s,c,e,p,w,t,e,n,s,p,0
b,s,y,t,l,n,c,n,p,t,r,s,f,n,c,p,w,t,c,n,v,d,0
c,f,n,t,s,a,d,b,p,b,?,s,f,e,g,p,w,n,p,b,s,d,0
f,f,y,b,l,a,c,n,b,t,u,y,s,g,w,p,y,o,z,o,a,d,0
k,g,u,b,p,f,c,n,u,t,c,y,y,p,o,u,n,n,c,h,t,m,0
k,g,c,b,y,f,d,n,k,b,e,k,y,c,g,u,n,n,f,b,a,u,0
k,s,g,b,l,n,w,b,b,b,b,s,k,w,e,u,n,t,c,w,a,d,0
s,y,n,t,s,f,w,b,p,t,u,s,k,n,e,u,w,n,l,o,s,u,0
b,y,g,b,n,f,c,b,b,b,u,k,y,b,p,u,n,o,p,b,t,w,0
f,y,y,b,f,d,c,n,e,t,?,s,s,p,c,p,o,t,f,u,v,m,0
s,y,e,t,s,f,w,n,n,t,c,y,y,g,w,p,w,o,l,k,v,u,0
c,y,p,t,y,n,c,b,e,t,c,y,s,w,g,p,w,t,f,y,a,w,0
k,s,r,b,a,a,d,b,b,t,e,s,s,y,g,p,w,o,n,y,c,p,0
s,s,n,b,m,a,w,b,k,t,r,s,y,e,b,u,y,n,p,y,t,w,0
x,f,r,b,f,d,w,b,n,t,e,s,y,p,b,p,y,n,c,o,n,g,0
f,y,r,b,f,f,w,n,y,t,e,y,f,g,p,u,y,n,l,y,t,p,0
c,y,c,t,y,f,d,n,u,t,z,k,y,b,n,u,w,n,l,b,n,w,0
s,f,r,b,a,d,w,b,u,t,r,y,s,n,o,u,y,o,n,o,v,w,0
x,s,b,t,n,n,d,n,u,t,r,s,s,o,c,p,o,n,s,r,a,m,0
f,s,r,b,c,a,w,b,p,t,r,f,k,n,g,p,y,n,p,r,a,d,0
k,y,n,b,a,a,w,n,r,t,e,s,f,e,o,p,o,n,z,w,v,g,0
c,g,u,b,f,a,w,b,k,t,?,y,y,p,b,p,o,t,e,b,s,g,0
k,g,b,t,n,d,c,n,y,b,c,f,y,c,p,p,n,o,s,o,t,g,0
c,s,p,t,s,f,d,n,w,t,r,f,f,w,n,p,o,o,f,r,a,p,0
s,g,e,t,c,a,w,b,g,t,r,y,y,o,o,p,y,n,s,o,n,m,0
f,y,w,t,y,f,c,n,u,b,e,k,f,y,n,p,y,t,e,h,a,p,0
c,f,n,t,y,f,d,n,w,t,z,k,f,n,y,p,n,o,e,h,a,w,0
s,f,g,t,s,f,c,n,u,b,c,y,y,w,n,u,o,n,z,n,v,w,0
x,f,w,b,y,f,d,b,y,t,u,s,k,n,p,u,o,t,e,k,c,d,0
c,y,n,b,n,a,w,n,u,t,e,f,k,g,b,u,o,t,z,o,v,w,0
c,f,c,b,s,n,d,b,w,t,e,f,s,p,g,p,w,o,z,n,v,w,0
f,f,n,t,l,a,w,n,e,b,b,k,y,g,p,u,w,t,f,w,v,p,0
x,f,w,b,c,n,c,n,n,t,c,f,k,o,y,u,n,n,p,r,t,d,0
k,g,c,t,y,f,w,b,b,b,?,f,s,b,c,p,y,n,n,b,v,u,0
c,y,n,t,y,n,w,n,u,t,z,s,k,n,b,p,w,n,l,b,a,m,0
k,s,y,b,l,n,d,n,u,t,b,f,s,o,g,p,w,n,e,y,t,p,0
x,y,p,b,m,n,c,n,u,t,?,s,f,g,o,u,y,t,n,y,v,d,0
s,f,y,b,c,a,d,n,n,t,b,f,y,w,o,p,o,o,f,y,v,d,0
x,s,w,t,a,f,d,b,e,t,b,f,s,y,g,u,y,o,z,b,s,m,0
f,s,n,b,m,a,w,n,u,b,u,k,y,w,y,p,o,o,e,n,v,l,0
c,s,y,b,f,d,d,n,e,b,z,k,s,o,g,u,y,n,l,h,t,m,0
f,y,n,t,n,f,w,b,b,b,c,s,k,y,w,p,y,n,s,b,t,m,0
b,g,c,b,n,a,w,b,k,t,z,y,s,y,o,p,w,t,f,u,v,d,0
s,g,n,t,c,a,d,n,r,b,b,s,f,e,y,u,w,n,n,y,a,u,0
f,g,n,b,n,f,d,b,k,b,b,k,k,p,g,u,o,n,n,k,t,l,0
x,s,g,t,l,a,d,n,e,b,c,s,s,g,b,p,y,t,n,k,a,p,0
b,f,r,b,n,a,d,n,w,b,r,s,f,p,w,p,y,n,l,k,a,l,0
b,s,w,t,m,f,w,b,w,t,c,s,s,o,y,u,w,o,c,u,a,u,0
b,y,n,b,n,f,d,n,u,t,c,y,f,o,b,u,n,o,c,b,c,m,0
x,f,p,t,n,d,w,b,u,b,e,k,s,n,n,u,w,t,l,y,t,l,0
k,s,b,t,n,d,w,b,y,b,e,s,y,o,n,p,y,o,e,r,n,g,0
x,f,e,b,f,a,c,b,b,b,c,f,s,g,o,u,w,o,l,y,t,d,0
x,s,n,t,y,d,c,b,g,t,?,y,k,p,c,u,n,o,z,n,c,u,0
f,g,e,t,a,a,w,b,w,t,u,f,f,g,y,u,n,n,p,r,v,m,0
b,f,n,t,f,n,d,b,w,t,?,s,s,g,w,u,y,t,s,n,c,m,0
s,g,u,t,y,a,d,n,n,b,b,f,y,y,g,p,y,o,f,k,s,d,0
s,f,p,t,f,n,w,n,r,t,?,y,k,o,o,p,o,n,c,h,s,d,0
x,g,r,t,f,a,c,n,h,t,r,y,k,g,g,p,y,o,s,b,n,u,0
b,g,b,t,c,d,w,n,o,t,c,f,f,y,b,p,o,t,e,b,t,u,0
k,g,n,b,p,a,c,n,r,b,r,s,s,y,g,p,y,n,f,y,n,d,0
b,s,y,t,s,f,d,b,p,b,?,k,y,g,n,u,w,t,e,h,v,l,0
c,g,g,t,y,n,c,b,p,t,c,k,k,o,y,u,n,o,e,k,c,l,0
b,s,r,t,n,d,d,n,p,t,c,f,k,b,o,u,w,n,z,u,s,w,0
k,f,c,t,m,d,c,n,o,t,?,k,y,p,o,p,o,t,l,b,c,u,0
s,g,w,t,n,d,c,n,g,b,r,s,k,c,c,p,n,o,l,n,s,u,0
f,g,y,t,s,f,c,n,r,t,b,f,s,b,y,p,w,n,f,o,n,w,0
c,s,c,t,p,a,w,b,e,t,u,s,s,p,n,u,o,t,n,o,v,g,0
f,g,e,t,n,n,d,b,p,b,u,y,f,c,n,u,n,o,c,w,c,g,0
c,f,p,b,p,d,w,n,o,t,r,f,k,y,w,u,w,n,z,o,a,w,0
x,f,c,t,s,n,w,n,p,t,z,f,f,y,e,u,o,t,e,y,s,w,0
k,f,c,b,a,d,d,n,n,b,c,s,y,p,c,u,y,o,p,n,c,g,0
f,s,e,t,c,d,c,n,u,t,b,f,f,e,y,p,n,t,f,b,n,m,0
b,f,w,b,p,d,c,b,u,b,e,s,f,n,n,p,y,o,f,w,v,p,0
x,g,p,b,n,a,d,b,y,t,u,k,k,c,e,u,o,o,z,k,s,p,0
b,f,y,t,y,f,w,n,b,t,?,s,y,e,g,p,o,t,e,n,a,w,0
b,y,c,b,n,n,w,n,h,t,u,f,k,o,c,p,w,o,f,o,n,l,0
x,f,y,t,p,f,d,b,y,b,?,s,f,w,g,u,o,t,e,k,s,w,0
s,g,c,t,y,n,w,n,r,b,?,f,s,b,n,u,n,o,f,y,v,w,0
f,f,w,t,s,n,w,n,y,b,r,f,s,o,n,p,o,t,z,b,t,g,0
f,y,e,t,l,d,d,n,o,t,c,s,k,o,w,p,o,t,f,b,v,d,0
c,f,n,b,a,f,c,n,w,t,c,y,f,y,y,u,w,o,z,b,v,p,0
k,s,u,b,m,a,c,n,n,t,b,s,y,o,b,u,w,o,e,y,t,d,0
x,s,g,t,l,f,d,n,y,t,?,f,s,n,y,p,w,n,n,o,t,w,0
c,s,p,b,f,f,c,b,y,b,z,k,s,w,b,p,n,t,f,u,v,l,0
c,g,g,t,y,f,c,b,y,t,e,k,y,p,p,u,y,t,p,b,n,g,0
c,y,u,b,p,f,w,n,y,t,b,s,s,n,o,p,n,n,p,h,n,u,0
k,y,u,b,y,f,w,b,b,b,c,k,k,b,n,u,w,o,z,k,n,u,0
f,g,r,t,f,n,c,b,k,t,u,k,s,c,y,p,w,t,p,r,c,m,0
s,s,p,b,c,f,c,b,y,b,?,y,y,y,e,u,n,n,s,h,a,d,0
b,g,c,b,m,d,w,b,n,b,r,f,y,p,o,p,w,n,f,y,v,d,0
f,y,r,t,f,n,d,n,b,b,?,f,k,g,g,p,n,o,e,h,c,l,0
k,g,w,t,n,d,w,n,g,t,b,k,s,y,o,p,w,n,z,r,c,g,0
b,g,e,b,l,f,d,n,u,b,e,y,k,c,w,p,o,o,l,b,c,d,0
k,g,c,b,s,n,w,b,w,b,b,y,k,c,e,p,y,t,f,r,c,g,0
f,y,w,t,a,n,c,b,r,t,c,s,k,b,o,p,y,n,c,h,v,m,0
b,f,c,t,p,n,c,b,r,t,e,f,s,y,o,u,n,t,n,w,s,g,0
b,f,g,t,n,f,w,n,o,t,z,k,s,e,g,p,w,t,p,r,t,d,0
f,y,n,t,a,n,d,b,y,b,c,y,y,g,g,p,y,o,p,k,t,l,0
b,f,r,t,m,n,c,b,k,b,e,y,k,n,y,u,n,n,z,r,t,p,0
b,s,r,t,p,a,c,n,h,b,c,f,f,y,c,p,y,o,f,o,t,g,0
s,s,g,t,a,d,d,n,r,b,?,f,y,p,o,p,o,o,s,u,t,l,0
c,f,b,b,f,f,d,b,b,b,c,s,y,p,n,p,w,t,n,o,v,u,0
b,f,e,t,s,f,c,b,y,b,u,k,k,e,c,p,w,n,z,o,a,p,0
c,f,b,t,s,f,c,n,w,t,?,s,y,y,b,u,w,n,p,h,t,g,0
f,f,r,t,f,f,w,n,h,t,z,s,k,e,c,u,y,t,l,w,v,w,0
k,s,y,b,y,n,d,n,h,b,?,f,k,y,g,p,n,t,p,k,v,d,0
s,y,w,b,s,f,c,n,y,b,r,s,f,p,c,p,n,n,e,w,n,p,0
s,y,r,t,f,a,c,n,k,t,z,y,y,c,e,u,n,t,s,y,t,p,0
b,f,w,t,n,f,w,n,n,b,e,k,k,o,e,u,w,n,e,n,v,g,0
s,g,b,t,n,d,d,n,e,b,e,y,s,b,y,u,y,o,s,u,n,p,0
s,y,b,t,p,a,d,n,p,t,z,s,k,y,y,u,w,n,c,n,t,p,0
x,s,p,b,l,a,c,n,h,b,b,s,y,y,o,p,n,n,z,y,v,g,0
s,y,y,b,a,n,c,n,p,b,b,y,y,p,o,u,n,o,s,h,n,d,0
f,s,e,b,p,f,w,n,e,t,r,s,f,b,p,p,y,n,n,u,n,u,0
f,s,g,b,a,d,c,b,p,t,?,f,f,e,p,u,w,n,e,b,c,u,0
f,f,p,t,l,n,c,b,b,b,b,f,k,o,o,p,n,o,c,h,c,p,0
x,f,b,b,c,a,w,b,o,t,c,y,f,n,c,u,w,n,c,n,t,m,0
s,s,y,b,c,f,d,n,g,t,?,k,y,e,o,u,w,t,s,b,n,u,0
c,y,b,t,m,d,w,n,b,t,?,s,f,w,c,p,y,t,c,b,t,d,0
x,y,y,t,f,d,c,b,r,t,?,k,y,y,c,p,w,n,l,k,v,w,0
s,s,y,b,s,d,w,n,y,b,r,s,f,e,n,p,o,n,l,n,a,l,0
s,s,w,t,n,n,c,n,y,t,b,f,k,o,o,p,n,t,e,k,v,u,0
x,y,w,t,l,f,d,b,b,b,c,k,f,c,y,p,o,n,n,n,s,p,0
s,y,p,b,f,a,d,n,y,t,c,s,y,c,y,p,o,n,f,n,v,w,0
f,s,w,b,f,a,d,b,g,b,r,f,s,w,n,p,y,o,c,y,c,g,0
f,s,u,b,p,a,w,b,w,t,?,f,k,b,b,p,o,t,z,n,v,d,0
s,g,y,t,f,a,d,n,e,t,b,f,y,o,c,u,y,t,z,w,n,w,0
f,s,n,t,n,a,d,n,g,t,c,y,y,c,b,p,w,n,n,n,n,m,0
b,s,r,b,a,n,d,n,b,t,r,f,s,e,p,u,n,o,p,o,n,u,0
k,g,r,t,s,a,c,b,k,t,e,k,y,c,g,p,o,o,n,w,s,g,0
x,g,n,t,n,f,c,n,y,b,c,y,f,c,w,p,w,n,e,w,t,p,0
k,s,e,b,f,n,c,b,r,t,r,y,k,b,g,u,w,n,l,y,s,g,0
k,g,c,b,l,d,c,n,w,t,r,y,f,y,n,u,w,o,c,n,n,u,0
s,y,p,b,p,d,w,b,p,b,e,s,s,w,w,u,o,n,s,h,n,w,0
c,y,p,b,n,d,w,n,y,t,?,s,s,g,w,u,w,t,c,y,t,w,0
k,g,g,t,p,d,w,n,b,t,c,f,k,e,p,u,o,t,e,u,c,g,0
b,f,e,t,a,f,c,n,e,b,r,f,s,c,w,u,n,t,f,w,n,w,0
c,g,g,t,l,a,d,b,k,b,z,y,k,w,b,u,o,n,c,k,a,g,0
c,y,r,t,f,f,d,n,e,t,u,s,y,y,b,u,n,n,n,r,t,u,0
k,g,p,b,m,a,c,n,r,t,z,k,k,g,e,u,y,t,c,b,v,p,0
s,f,c,b,m,a,d,n,o,t,b,y,f,p,g,u,w,t,s,o,c,l,0
c,y,p,t,c,d,w,n,e,t,u,f,k,g,p,u,o,t,p,o,s,p,0
f,f,c,b,a,a,d,b,e,b,c,y,y,n,n,u,y,t,c,o,v,d,0
c,y,g,b,m,f,w,n,r,t,c,k,s,e,c,p,n,t,c,k,n,g,0
f,f,w,t,l,d,w,b,u,t,r,s,f,c,c,p,w,n,e,h,v,g,0
c,f,r,b,a,f,d,n,b,b,u,y,k,b,o,p,w,o,z,b,t,p,0
