Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Strength
105,12,174,194,8.15,833,948,7,23.09
165,192,24,247,19.09,1009,764,7,45.26
367,120,46,201,7.14,925,958,90,34.29
114,305,141,193,26.23,905,746,7,54.05
356,30,31,145,25.92,963,850,180,82.62
163,191,95,238,24.32,980,662,28,56.49
102,258,120,136,6.53,853,800,1,21.86
115,158,197,241,24.13,836,647,365,83.77
459,327,1,175,22.07,825,956,7,57.9
301,241,68,241,13.39,1105,834,90,41.45
394,99,26,176,25.57,1105,704,365,85
289,185,113,160,18.44,1078,768,90,48.32
265,171,104,158,16.69,993,723,7,33.92
500,200,150,170,7.45,1074,918,1,21.37
415,215,0,196,19.73,1131,917,7,46.58
128,306,38,176,5.04,945,856,7,13.86
279,74,17,178,24.55,1077,650,1,50.55
416,227,61,215,6.58,1121,687,28,24.63
439,83,87,192,30.35,1100,909,180,85
345,119,157,128,6.08,999,885,90,23.88
499,261,94,203,27.68,929,613,90,69.07
504,348,140,166,20.09,909,735,90,62.19
464,222,181,180,10.87,1082,898,90,42.68
179,340,34,242,21.17,1053,614,180,63.4
435,80,8,234,27.45,825,962,28,66.43
383,268,184,220,19.07,1084,889,90,52.06
467,125,139,143,1.02,1077,834,90,17.8
185,292,68,239,20.87,930,967,1,49.49
425,1,157,134,4.79,1053,965,1,19.54
299,204,45,127,31.12,1010,924,7,69.64
244,232,3,226,18.13,1020,834,28,42.98
323,74,59,196,4.96,983,662,90,27.98
288,170,177,201,14.21,974,821,90,47.43
158,83,1,125,27.84,1015,758,365,85
406,104,135,179,5.05,1139,824,1,16.15
412,109,58,166,19.81,891,740,7,45.55
385,66,63,209,4.81,1102,600,1,17.82
305,103,124,188,30.09,863,873,90,75.62
226,278,54,195,21.93,976,987,28,47.7
497,255,177,209,2.49,1087,739,1,19.53
236,31,94,191,28.09,1038,597,28,68.91
517,58,140,204,14.76,867,713,365,72.39
270,26,157,174,30.84,897,720,28,66.86
485,290,194,216,23.98,1143,719,180,76.27
226,100,53,178,21.74,1050,698,365,85
370,30,83,227,28.9,883,907,365,85
373,308,176,164,18.19,1058,628,28,51.31
267,314,85,129,11.2,1011,843,28,31.01
195,236,50,127,1.19,923,794,28,10.6
370,245,15,158,26.71,1072,914,1,68.04
157,309,36,200,9.33,1123,732,90,31.73
439,233,125,219,19.28,923,855,1,47.51
532,4,50,247,14.52,806,732,180,57.9
341,10,84,179,18.55,1030,704,1,37.26
218,216,42,226,27.69,963,782,90,69.42
390,4,63,140,4.11,838,653,7,19.8
320,315,164,237,23.87,1085,801,90,60.22
312,285,87,215,16.24,1139,920,28,37.49
473,199,145,244,16.27,1139,631,365,76.32
195,327,54,126,21.99,834,987,1,49.38
506,118,69,166,13.0,837,708,180,57.67
443,86,99,179,26.57,1140,759,7,64.58
169,162,186,194,18.99,841,819,180,65.81
195,246,25,161,5.95,872,825,7,17.28
184,71,105,146,28.85,1071,810,1,67.39
296,287,16,145,24.22,1081,691,28,58.36
361,48,7,220,11.49,953,923,28,28.52
431,274,54,167,9.94,837,978,1,33.25
424,173,121,200,25.35,847,752,28,59.63
336,299,145,183,19.35,956,706,1,47.69
350,318,21,135,0.42,1039,750,90,14.93
223,4,45,204,30.27,804,607,90,75.06
279,333,41,145,5.01,956,663,1,17.32
244,238,2,154,5.01,952,850,28,18.14
274,10,143,199,7.59,828,605,180,35.28
383,348,113,162,4.63,1092,709,7,16.32
440,192,78,149,3.17,865,895,1,9.58
436,174,133,148,20.17,1053,652,365,84.4
318,69,3,187,23.7,889,828,180,72.73
230,284,54,143,18.25,1067,602,90,49.35
421,4,30,178,11.27,849,832,90,37.55
280,16,56,203,2.44,1015,917,365,50.8
285,234,48,175,13.71,808,936,180,54.3
161,89,6,123,6.73,811,865,365,55.12
259,226,103,164,30.78,971,745,28,74.92
386,256,85,234,0.34,1052,677,1,12.34
115,157,23,192,25.21,1067,928,28,58.17
310,8,182,212,9.12,881,622,180,42.2
258,112,35,142,3.19,1001,712,28,19.16
537,257,36,201,11.22,925,853,1,29.77
259,107,180,142,25.26,1111,900,28,58.5
533,270,58,167,1.0,977,949,28,12.56
230,127,32,194,15.52,868,947,1,29.93
172,95,31,219,4.62,1032,930,1,14.84
519,333,177,138,16.81,1074,905,365,78.79
194,345,188,176,0.97,1126,774,7,7.96
114,197,194,195,29.11,1054,836,365,85
173,124,140,171,6.13,1128,841,90,23.75
253,74,29,177,17.49,1139,835,7,45.23
442,9,185,155,22.53,915,796,180,64.62
479,108,141,237,1.7,1133,868,90,20.39
144,267,13,194,28.14,854,836,28,60.46
467,230,197,161,20.42,1054,598,1,47.56
119,88,188,146,7.01,998,989,7,19.9
142,35,100,233,19.33,1052,835,365,80.75
138,343,57,242,22.29,1019,929,28,53.51
323,167,115,130,13.55,1066,899,90,37.84
138,307,7,130,1.25,843,871,28,13.63
293,248,192,154,9.17,1049,605,7,28.57
409,11,197,181,19.6,925,666,180,63.61
349,127,101,139,6.36,970,982,90,21.9
510,352,12,210,27.08,886,791,90,75.29
164,272,183,167,25.59,974,682,365,85
409,183,99,148,18.59,1076,845,28,45.43
475,149,149,128,18.88,903,724,7,44.42
498,80,104,149,28.05,958,724,28,67.71
159,9,94,160,10.79,1072,906,90,36.96
188,282,99,247,15.98,1129,980,90,44.3
114,251,49,160,10.83,1036,657,1,25.96
113,209,90,162,27.09,889,812,28,61.34
141,133,105,208,9.38,879,617,7,19.27
285,249,146,176,30.64,1034,772,180,82.65
218,151,177,155,14.83,1027,973,90,45.95
463,357,145,170,13.05,927,822,180,55.64
195,2,66,243,11.31,1119,846,90,38.86
471,328,64,128,8.08,979,609,90,34.37
145,309,170,240,3.98,978,932,28,16.69
174,233,171,192,3.98,898,801,7,10.73
497,136,110,182,15.03,1112,706,7,39.6
505,27,38,201,30.37,1087,791,365,85
157,135,22,150,10.14,818,692,365,65.03
535,160,20,159,26.18,891,602,1,55.97
299,252,124,150,28.0,1079,757,7,64.86
495,328,79,239,31.23,1013,656,1,68.31
246,299,170,218,15.29,898,853,28,35.02
347,216,185,173,15.42,994,953,1,38.64
297,148,90,146,7.79,903,827,7,21.94
256,224,102,124,31.54,845,614,90,78.04
290,126,60,194,13.1,841,732,28,30.91
492,189,122,225,26.64,1075,876,1,54.26
131,314,155,229,21.9,970,677,28,51.74
527,183,87,160,29.86,1005,849,365,85
283,349,140,179,1.39,851,661,365,51.47
336,16,49,156,3.19,862,794,7,14.1
148,4,135,146,1.72,991,693,28,15.24
172,229,142,123,1.45,968,803,1,8.57
504,285,168,223,9.23,1108,790,7,29.73
156,306,66,154,14.03,1000,911,1,35.46
187,127,43,205,23.42,1078,695,180,68.09
378,176,50,188,19.39,898,761,90,52.06
413,177,21,180,28.92,1085,799,7,59.96
193,237,132,169,19.8,1087,924,28,46.79
393,196,177,179,22.46,1039,946,180,73.1
298,273,133,224,1.04,1066,759,365,47.16
310,223,89,139,3.79,996,705,365,51.83
345,282,96,216,8.61,1067,606,1,25.16
511,71,169,216,25.74,956,657,365,85
224,164,148,228,31.5,1126,837,180,85
216,177,34,169,27.41,1030,719,365,85
304,8,111,211,22.22,819,797,7,55.96
343,334,157,142,27.89,851,642,180,85
133,311,83,237,13.99,831,786,365,68.94
194,125,35,215,6.21,1052,948,7,17.13
232,24,20,217,18.01,1045,703,1,43.57
160,201,61,243,2.15,952,936,365,46.68
537,114,140,193,4.1,1031,718,7,17.61
250,223,149,144,7.99,872,790,90,28.84
474,303,190,175,31.29,993,708,180,85
318,104,53,185,29.65,1120,637,7,63.63
425,347,186,231,13.12,1120,944,7,36.7
229,199,28,141,7.5,912,697,180,33.72
277,323,71,206,20.92,1099,820,28,55.63
450,172,40,151,24.73,975,881,180,74.97
507,195,116,212,2.42,873,662,365,51.73
462,8,148,123,28.29,854,716,28,70.97
218,309,2,210,2.67,917,707,180,33.03
531,96,177,138,26.02,1017,778,1,57.53
360,157,166,221,17.06,914,919,90,46.94
515,31,63,232,27.26,827,985,1,54.3
502,294,151,129,20.88,904,739,90,59.81
423,14,98,165,12.66,875,651,365,69.3
536,19,111,190,17.49,1026,848,7,43.36
429,101,140,174,12.46,1105,947,90,35.94
433,64,26,189,28.87,809,966,180,85
157,203,154,185,4.31,903,962,90,24.08
482,190,62,245,22.87,869,942,365,85
309,257,5,244,14.61,984,681,90,37.29
282,90,159,236,30.13,1077,597,28,73.92
425,10,187,163,3.49,812,643,180,34.3
125,319,142,216,15.02,1003,732,90,46.32
168,4,92,194,7.83,971,728,1,19.16
182,120,148,184,8.32,929,831,28,21.74
403,49,159,230,18.6,962,908,90,55.21
268,45,147,189,9.49,992,787,7,22.87
196,329,143,205,17.72,1102,726,365,77.28
387,313,77,134,22.21,1053,658,90,65.37
284,68,132,191,4.4,1058,599,365,52.37
211,49,79,145,31.76,820,933,7,69.08
436,64,198,243,18.4,1065,913,1,40.56
395,355,140,126,17.35,1079,682,28,43.02
438,0,150,195,30.55,1139,852,365,85
324,36,98,129,7.97,1134,671,1,22.56
441,273,183,187,21.55,1121,638,90,60.87
308,313,130,181,8.59,872,676,7,28.76
516,147,77,245,9.97,836,640,90,38.1
264,154,152,214,11.78,1035,628,365,67.59
233,329,179,160,20.8,837,780,7,47.37
273,36,175,206,20.53,1078,979,7,47.89
513,242,10,159,26.43,854,778,90,65.97
323,31,119,241,12.18,981,630,90,41.93
482,29,164,228,13.59,818,620,28,40.87
467,147,75,165,3.3,869,851,7,12.81
183,274,158,190,2.41,1017,815,28,16.53
185,343,69,188,23.91,880,755,180,69.47
384,187,159,134,24.1,913,699,90,62.89
203,114,65,167,25.2,896,700,180,74.1
159,203,151,153,12.26,1025,986,28,29.32
415,341,192,138,24.01,1122,687,28,59.98
367,16,120,138,10.55,1140,886,90,35.39
199,47,82,216,8.91,897,810,90,34.53
417,145,181,196,8.82,937,832,365,58.44
443,249,99,197,18.79,1074,989,90,52.97
248,270,151,230,7.99,904,961,7,17.13
209,315,144,225,27.57,816,628,28,67.26
288,350,189,194,18.35,1035,847,365,83.11
424,139,84,200,11.64,1116,795,1,34.33
520,158,21,238,16.26,853,666,90,51.74
287,69,153,149,26.97,870,830,90,70.18
458,336,15,162,25.14,893,655,180,75.69
449,113,33,205,13.94,1006,910,1,34.56
395,289,56,202,22.67,943,770,365,85
405,51,132,223,0.34,961,729,90,19.31
223,2,160,138,25.94,1014,928,7,54.7
311,331,63,150,29.43,933,618,180,83.19
380,82,113,131,29.64,882,976,180,85
525,210,62,136,0.63,1091,801,180,27.87
255,23,112,184,24.64,930,869,180,80.36
314,259,38,240,0.34,911,677,180,24.33
335,237,75,207,28.05,887,941,90,79.29
494,135,48,182,17.43,1086,834,7,41.48
358,41,69,124,22.19,968,623,365,85
291,109,27,175,28.31,1026,618,28,67.14
383,284,119,164,6.11,939,612,90,30.4
212,92,137,202,9.48,993,872,180,43.23
172,268,16,202,29.08,845,612,180,82.81
239,28,54,146,8.22,1046,828,28,27.17
298,226,199,190,7.41,1064,876,28,21.75
446,278,104,183,20.27,1069,642,7,48.97
174,118,176,209,3.35,851,907,90,23.53
466,203,171,156,14.46,1142,860,365,75.99
226,182,96,169,7.88,1065,937,7,24.53
330,4,102,240,21.71,1124,891,90,58.32
118,272,79,246,5.77,1059,754,1,14.91
427,71,54,176,17.25,1145,621,365,85
503,118,99,206,7.82,810,638,28,29.0
168,37,65,214,18.76,847,969,7,44.32
436,325,106,207,14.29,854,933,180,52.46
429,335,147,232,8.19,1094,670,365,58.23
265,347,26,136,17.01,1059,622,7,35.32
432,85,25,206,22.46,1130,873,1,52.89
181,158,156,140,1.98,858,875,365,48.15
220,166,187,213,19.03,915,600,180,61.31
343,74,123,233,6.03,825,646,90,29.44
537,185,107,145,5.83,929,771,28,28.16
217,221,0,172,10.47,1060,645,28,28.36
332,241,46,202,27.1,1024,660,7,61.72
448,144,191,221,13.19,855,870,28,35.18
327,97,35,178,9.52,813,931,90,32.89
440,196,114,229,20.92,1123,596,1,44.77
467,153,118,223,21.4,1132,812,90,61.72
289,97,88,194,12.02,1028,638,7,34.65
230,343,121,169,11.48,880,608,365,64.11
453,152,194,179,4.0,831,690,365,56.99
224,233,26,128,28.88,963,923,180,81.19
115,232,80,128,14.71,1096,826,28,37.15
354,227,77,229,16.03,1062,890,7,37.33
504,220,128,243,30.48,865,811,7,73.18
382,300,24,245,7.62,975,899,365,57.49
340,74,140,184,26.5,858,930,365,85
447,58,185,159,27.37,995,688,365,85
131,304,74,173,2.23,1019,830,365,44.86
310,142,18,187,3.96,1016,620,28,22.99
398,44,38,196,21.15,914,813,7,51.65
117,338,42,198,14.33,1062,596,1,30.85
179,21,144,176,15.68,926,869,365,76.45
278,34,159,176,11.98,1028,792,90,41.27
190,246,77,200,30.57,844,746,7,69.7
328,345,81,225,0.03,913,601,180,26.79
524,192,194,247,27.97,819,646,28,64.3
352,57,89,130,2.65,1126,870,365,49.73
464,94,124,127,7.71,887,745,365,60.32
294,19,78,234,6.25,938,770,28,20.46
499,126,145,231,9.71,1075,637,180,49.84
361,140,181,187,29.3,1051,819,28,73.11
333,309,47,229,5.47,1144,620,1,18.54
415,161,123,227,19.71,997,699,7,40.97
454,36,153,146,10.21,1038,609,180,46.25
262,27,135,224,31.07,1040,619,7,67.53
185,147,39,191,30.98,1020,891,28,65.24
465,278,66,161,10.98,884,919,365,69.5
244,139,163,231,14.01,904,911,365,70.42
400,352,190,138,21.15,846,738,180,71.26
194,187,173,194,23.4,1108,789,180,68.42
106,194,106,124,3.86,844,799,28,14.77
279,14,60,162,11.65,1083,646,180,50.28
452,344,192,127,13.31,1136,609,28,36.43
491,247,122,205,25.51,1128,647,7,59.85
470,109,138,125,29.35,1018,719,365,85
354,271,35,220,30.28,925,810,180,85
410,347,158,213,28.52,1140,863,90,75.09
203,342,1,209,21.13,1115,650,90,54.69
123,15,69,226,15.41,853,761,7,27.58
118,10,156,147,10.57,1031,635,90,33.71
440,186,3,204,28.36,1079,824,180,85
131,334,83,240,5.99,1111,986,28,16.59
279,339,67,233,25.69,1131,694,28,61.42
209,89,165,221,2.68,889,940,28,10.5
205,126,177,123,6.98,1123,631,7,23.02
437,134,76,184,28.81,918,600,180,84.56
163,15,189,177,29.1,1085,600,365,85
524,194,123,188,9.76,906,695,28,31.55
226,179,173,220,14.72,953,706,90,44.68
481,204,21,147,12.53,1047,955,28,33.22
471,191,24,235,30.15,858,796,7,74.01
497,245,142,217,28.75,948,775,365,85
222,211,43,165,28.41,924,600,7,59.66
515,221,200,231,0.12,1026,714,7,12.43
417,311,33,241,28.01,870,919,180,80.57
411,154,190,122,0.52,1051,763,1,12.36
411,322,179,154,31.48,1095,992,180,85
539,285,145,238,11.47,995,734,365,69.82
209,19,56,141,28.57,875,881,28,61.9
156,108,139,158,23.57,912,659,1,53.64
271,192,0,145,0.92,867,899,7,11.05
359,251,164,144,0.84,813,988,90,17.06
531,355,44,162,11.43,1105,702,1,31.75
324,82,57,225,20.41,860,730,7,47.7
220,252,62,121,11.22,981,909,90,33.73
222,7,8,215,18.77,1051,789,7,41.66
227,310,112,236,12.34,933,875,180,46.43
260,32,79,152,2.24,953,608,1,7.76
343,357,143,160,5.18,1114,782,7,19.24
338,52,131,239,18.76,896,868,28,49.08
361,187,105,207,7.1,805,687,365,57.58
137,77,194,127,1.56,947,922,1,2
536,358,92,211,2.97,989,774,180,34.68
346,16,48,232,26.74,862,859,90,72.9
382,281,140,187,8.94,919,935,28,28.93
396,276,177,126,28.97,1083,629,7,65.02
452,196,37,139,8.65,948,815,7,29.65
312,62,93,206,15.71,1031,659,7,36.92
145,245,33,180,8.98,1082,745,90,30.09
398,306,67,239,28.05,943,787,1,62.4
307,28,107,211,16.01,949,849,365,76.1
458,250,78,121,19.48,833,944,7,47.33
361,233,163,127,0.75,1030,981,1,5.4
253,260,13,235,24.45,900,668,28,58.68
390,318,160,236,16.32,809,625,180,58.34
152,145,134,159,17.31,1110,753,90,54.23
236,37,179,129,5.77,890,667,180,25.83
319,317,21,152,25.17,893,968,1,56.95
497,319,80,226,4.62,840,879,90,25.2
175,108,168,195,13.01,966,814,365,66.51
401,148,175,234,17.81,915,824,180,59.9
373,178,85,196,23.16,857,635,180,72.29
169,144,183,187,28.73,1072,968,90,66.9
213,244,161,189,26.83,934,821,7,64.22
328,108,42,227,12.33,1066,650,7,30.73
438,315,56,172,9.87,1048,948,90,30.14
424,90,172,189,4.95,815,840,28,21.66
266,315,104,144,23.71,943,639,365,84.18
245,175,153,238,23.45,867,716,365,85
451,42,69,142,2.62,980,860,7,8.45
499,175,188,220,21.93,861,722,7,50.16
177,176,15,128,16.87,996,938,180,62.23
120,178,17,128,6.19,839,778,180,39.51
172,278,48,157,18.56,878,858,7,37.47
171,226,15,174,0.35,1047,925,365,43.22
528,245,101,158,4.57,1003,907,1,17.71
125,120,199,232,4.21,889,687,7,17.34
467,77,195,209,23.92,854,828,1,52.99
108,318,6,133,5.1,1042,655,90,25.19
110,80,113,220,1.11,1095,732,7,10.72
161,47,193,222,19.45,1117,844,1,43.1
315,93,88,235,20.88,1006,949,1,46.76
386,277,102,155,31.61,998,919,365,85
300,2,196,216,13.27,882,859,28,39.06
351,158,154,142,17.88,835,864,90,55.47
281,147,48,245,3.75,925,654,1,16.16
352,26,111,213,25.29,964,752,90,70.16
206,292,190,204,18.14,811,736,180,58.82
111,122,10,214,6.71,1044,894,180,35.63
184,315,118,172,14.05,1020,725,28,40.46
490,15,179,217,10.25,1026,811,365,65.81
108,196,149,215,4.91,812,616,28,14.04
212,177,125,156,1.23,1086,851,365,43.01
237,152,74,244,2.39,1070,873,7,7.71
470,125,198,205,11.25,875,794,7,30.57
494,30,98,218,3.2,1046,910,180,32.23
537,106,136,209,2.77,828,599,90,25.31
338,206,31,153,0.15,935,857,90,16.19
439,222,152,128,15.4,924,709,180,57.45
420,55,29,156,19.29,1070,902,7,43.74
280,11,146,244,28.92,1062,902,28,65.76
368,328,56,206,12.32,932,794,180,49.96
320,18,56,235,7.49,880,990,7,22.72
425,84,46,151,11.97,1035,756,28,34.29
415,67,193,202,10.14,1134,627,180,50.33
