CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
1.8851,0,13.97,1,0.64,5.53,8,5.7464,4,261,21.0,466.05,13.64,6.9
0.2241,0,10.09,0,0.57,6.14,98,1.765,1,651,16.6,511.77,18.82,6.2
0.3612,0,17.29,0,0.55,6.24,25,0.9286,1,248,15.4,361.88,8.5,11.2
2.1133,0,8.01,0,0.56,5.74,73,6.523,8,539,17.2,281.53,14.39,10.8
0.5902,0,10.39,0,0.62,5.64,100,10.1629,6,571,17.3,476.02,6.09,12.4
4.8348,0,7.68,1,0.62,6.38,4,0.6456,5,290,16.5,315.95,23.56,6.1
1.5838,0,7.17,0,0.67,6.01,33,0.1824,5,316,20.2,232.55,14.7,10.8
3.4528,0,7.86,0,0.49,7.12,65,2.14,8,224,18.3,279.59,10.85,10.0
0.2952,0,2.01,1,0.55,6.2,49,5.4407,6,466,18.0,238.82,10.76,14.0
3.4395,22,7.52,0,0.47,6.01,100,3.8352,5,382,17.9,392.21,11.91,11.1
1.6889,0,14.39,0,0.57,7.41,61,1.3884,2,507,20.6,474.48,7.59,11.4
4.4622,0,7.69,1,0.72,5.72,74,5.1293,3,344,19.7,507.58,10.48,13.1
1.3292,0,13.4,0,0.37,6.28,10,8.0767,8,477,17.1,362.98,4.94,12.7
7.7971,0,5.41,1,0.75,5.34,41,2.9517,24,469,17.4,377.73,7.83,16.3
0.1329,0,9.25,1,0.42,7.02,24,7.6741,8,655,17.3,390.27,15.09,7.3
7.1393,0,19.57,0,0.69,6.66,49,0.2654,2,703,19.9,345.75,12.74,10.7
4.5675,0,9.75,0,0.6,6.68,61,0.2356,4,635,19.9,286.94,11.18,12.9
0.5555,0,-2.54,0,0.54,6.64,86,4.2008,2,586,19.7,372.12,10.76,14.4
0.2175,0,6.21,1,0.56,5.73,81,0.7736,8,625,16.8,328.91,10.88,11.4
0.2277,97,3.93,0,0.44,5.71,15,4.1555,3,444,19.5,538.11,-2.13,17.5
3.1262,0,9.75,0,0.55,6.65,32,4.4636,4,268,16.1,318.57,25.25,5
3.439,0,5.54,0,0.34,6.06,8,7.904,4,414,19.1,306.07,6.21,12.2
0.7614,0,2.31,0,0.49,6.69,94,0.7336,8,367,19.0,295.99,9.89,10.2
3.1335,0,28.33,1,0.39,7.55,21,2.6829,3,450,17.9,278.71,12.25,5
8.2617,0,16.32,1,0.5,6.71,54,7.2094,2,581,22.2,274.73,15.17,5
1.8391,0,21.19,0,0.66,5.77,89,0.5314,4,352,24.5,317.4,22.6,5
5.9016,0,15.61,1,0.62,6.73,20,1.0446,4,594,16.3,334.01,8.13,9.7
0.4808,0,7.81,0,0.3,6.76,54,1.9371,2,357,18.3,139.37,9.49,10.2
2.218,0,7.57,1,0.61,6.01,48,3.6462,8,245,20.6,453.71,16.62,8.5
6.797,0,9.72,1,0.39,5.92,79,2.209,2,543,14.9,407.79,8.33,11.1
6.4784,0,-0.2,0,0.42,6.77,23,7.5577,2,680,19.2,173.56,14.71,6.6
0.5821,0,6.48,1,0.6,6.83,30,8.9501,2,538,17.0,415.58,16.5,6.4
0.3059,0,6.3,0,0.61,5.22,50,2.8673,1,505,15.3,311.66,23.18,7.6
0.8374,0,-1.02,1,0.69,6.17,20,4.582,1,514,19.9,457.61,16.53,12.9
5.8653,0,-1.49,0,0.82,5.0,22,15.7253,8,532,18.0,317.09,17.94,11.3
5.2225,72,4.19,0,0.53,6.9,97,0.7258,1,557,20.3,284.14,17.03,6.2
0.9185,0,5.13,0,0.6,7.43,86,0.3129,24,578,16.3,332.46,2.79,14.4
0.0777,0,22.24,0,0.62,6.25,57,1.1811,3,288,16.4,478.26,8.8,9.1
5.1002,0,10.71,0,0.62,6.52,78,3.9605,1,644,19.7,283.0,3.3,17.7
1.5062,0,13.53,0,0.74,7.3,58,0.5022,24,507,24.1,306.01,8.73,12.5
0.6945,0,16.45,0,0.58,6.11,81,1.8274,5,453,14.3,338.98,7.46,13.6
0.2439,0,3.45,0,0.65,6.66,22,1.814,3,510,21.5,221.19,10.13,11.3
8.6626,0,13.55,1,0.42,6.42,36,3.1171,1,361,16.0,487.4,17.86,5
0.9995,0,11.19,0,0.38,6.57,33,3.7796,8,655,20.6,294.84,18.03,5
0.3149,0,4.31,0,0.66,6.23,56,3.7674,3,678,18.5,415.02,2.31,16.8
17.179,0,20.68,0,0.85,6.34,11,1.5246,3,548,21.2,325.88,6.08,15.8
1.185,0,13.6,1,0.58,5.2,40,1.456,1,545,20.1,330.73,12.5,11.8
0.4407,0,5.33,1,0.48,5.46,58,0.5885,6,631,19.3,317.24,11.18,11.7
3.8163,0,2.07,1,0.56,6.97,16,10.5415,1,316,16.1,410.67,15.85,7.1
2.218,0,8.77,0,0.33,4.61,27,2.1408,2,701,19.0,505.29,7.8,12.8
0.7114,0,8.69,0,0.67,6.4,31,0.8358,8,677,15.9,399.86,18.4,7.0
1.0958,0,5.12,1,0.51,6.75,44,1.4906,6,567,17.3,370.42,-0.16,15.5
11.508,0,15.72,1,0.56,5.02,7,0.4559,8,445,21.2,318.41,14.37,10.4
2.4728,0,15.19,1,0.6,5.04,90,0.7032,8,693,23.4,419.56,18.2,8.3
0.5812,0,12.12,1,0.55,5.97,17,0.6256,1,430,16.5,451.55,-0.52,18.4
0.4781,0,4.56,1,0.91,7.82,15,4.2743,8,450,22.0,399.37,8.01,14.5
4.6598,0,8.6,1,0.27,5.7,25,5.6355,3,380,22.7,286.51,-7.27,21.6
0.6936,0,4.19,1,0.38,7.72,79,0.3502,8,208,20.1,392.39,8.16,5.9
1.0374,0,4.22,1,0.38,5.07,30,8.4903,8,302,15.5,319.13,9.48,12.1
0.6671,0,-1.62,1,0.59,6.92,65,3.6131,5,265,17.1,315.04,4.49,14.9
1.3005,0,4.79,1,0.55,6.49,85,8.4866,8,615,18.9,353.51,9.06,13.0
4.9959,87,21.04,0,0.51,6.96,62,10.5366,2,248,20.7,251.66,21.58,5
0.7889,0,9.49,1,0.46,6.51,78,6.813,1,337,18.0,202.74,17.03,5
4.5958,0,21.17,1,0.52,6.45,22,0.0364,8,652,19.6,487.36,16.96,9.0
0.4456,0,9.73,1,0.29,6.75,90,2.1064,6,601,19.8,490.02,8.49,5
6.2492,0,7.26,0,0.33,6.75,72,0.751,1,433,19.0,236.73,8.26,5
4.3116,0,13.7,1,0.71,6.31,5,2.9491,8,675,20.5,317.38,8.74,15.1
0.5853,0,11.72,1,0.54,5.63,57,0.1361,8,431,15.9,395.7,16.87,11.3
11.5735,12,20.47,1,0.45,6.12,24,4.1338,24,451,20.1,499.89,10.3,8.3
3.8042,0,0.69,1,0.47,6.31,89,0.1454,1,437,20.1,295.73,9.13,13.0
6.9091,0,1.86,1,0.45,6.08,53,1.3286,6,537,19.8,254.6,15.08,5
1.4954,0,16.38,1,0.58,5.43,40,6.899,24,616,18.8,134.38,4.91,13.1
1.8106,0,12.97,1,0.45,6.17,78,0.7378,3,518,21.7,565.34,12.59,11.7
1.0163,0,15.57,1,0.62,5.06,23,3.0622,4,543,17.3,324.16,9.17,15.2
2.3047,0,9.41,1,0.57,5.74,56,1.5567,3,633,15.9,408.33,5.74,10.5
3.1926,0,14.27,1,0.55,7.66,29,0.8405,24,577,20.9,441.55,26.4,5
9.3568,12,6.37,1,0.57,6.04,75,16.4591,4,587,15.5,369.95,12.97,10.5
5.1126,77,15.82,1,0.48,6.1,77,0.5537,2,578,19.7,386.6,26.69,5
0.1771,0,14.95,0,0.46,5.95,11,2.2723,6,399,17.8,402.81,17.12,7.2
0.1065,0,14.02,0,0.56,5.15,70,0.0777,3,408,17.1,195.31,19.81,6.6
1.4285,0,14.42,1,0.3,6.98,27,3.8725,5,589,18.9,190.77,11.16,6.5
1.2794,0,13.26,1,0.48,5.15,77,1.7577,6,594,15.6,332.05,15.6,10.5
1.2786,0,14.31,1,0.74,5.95,69,0.8174,5,263,19.2,406.34,17.29,6.3
0.1597,0,9.92,0,0.6,6.39,61,1.1153,8,224,22.3,213.19,9.9,9.6
1.6659,0,22.47,0,0.44,6.75,43,6.5869,8,418,17.1,455.51,-0.82,10.9
3.1623,87,6.2,0,0.57,6.05,76,7.2915,8,644,19.7,278.41,12.43,12.6
0.321,0,8.33,0,0.67,5.92,65,0.2072,1,408,18.3,353.08,28.42,5
9.6308,0,10.35,0,0.66,7.21,53,0.694,5,620,16.8,520.2,16.47,8.6
0.0967,0,11.57,0,0.53,6.31,8,1.9407,6,287,16.0,438.9,8.07,9.6
2.437,0,17.15,0,0.42,5.44,93,1.7282,8,290,19.8,291.52,18.19,8.1
6.3812,0,6.42,0,0.45,4.88,87,2.1453,6,208,17.0,491.77,12.41,14.3
0.6103,0,14.67,1,0.51,6.27,3,5.8627,5,528,18.9,462.71,25.16,5
0.934,0,15.13,0,0.61,4.84,69,0.641,6,526,17.9,206.73,7.74,14.6
11.4894,37,8.94,0,0.55,6.25,39,3.2587,3,497,18.5,297.32,3.76,11.6
5.9881,0,6.41,1,0.67,7.55,13,4.1632,3,388,15.6,445.96,16.09,5
7.4508,0,12.41,1,0.6,6.6,27,0.959,8,391,17.8,384.0,13.48,11.2
0.4974,0,15.7,1,0.54,6.14,5,8.1226,1,618,18.9,544.56,17.34,8.0
4.7989,0,10.49,0,0.35,7.19,90,1.3414,1,311,21.0,395.46,8.46,9.5
0.8434,0,12.98,1,0.72,6.33,15,2.1399,24,587,19.4,557.2,15.08,10.2
5.6893,0,4.63,0,0.54,6.27,52,1.6249,2,662,18.0,220.27,13.38,7.8
7.4566,0,3.74,1,0.73,6.67,22,1.4759,4,544,21.4,358.47,0.43,17.8
6.522,0,-0.21,1,0.69,4.98,66,4.9781,5,319,20.2,386.33,2.97,19.4
1.3035,0,14.66,0,0.63,5.6,6,6.2534,2,639,20.8,263.33,13.71,9.2
1.1233,0,16.14,0,0.65,5.7,95,3.4262,24,381,21.2,349.67,15.82,9.2
0.245,0,1.73,0,0.45,6.48,30,5.7407,5,444,17.9,425.04,7.13,9.9
3.1494,0,9.72,0,0.82,5.33,27,1.3576,1,329,16.1,350.82,14.57,12.7
1.7942,0,12.47,1,0.68,6.33,57,2.1644,4,208,19.7,383.2,12.25,10.3
4.0281,0,3.26,1,0.5,6.96,13,2.9608,4,609,20.8,539.15,7.36,9.9
3.1057,0,16.51,0,0.44,6.28,47,7.5975,4,641,19.9,406.69,3.36,12.5
7.6895,0,21.53,0,0.48,6.67,49,4.3022,3,223,19.4,235.82,4.85,8.6
0.2943,0,17.91,0,0.67,5.63,8,3.6,1,543,19.8,425.47,16.48,12.5
5.0869,0,26.74,1,0.56,7.44,35,0.5913,8,665,16.6,366.09,9.31,6.0
5.0841,82,4.16,1,0.68,5.43,83,6.2,4,605,16.5,324.98,-3.83,18.0
0.5296,0,13.44,0,0.42,6.19,72,4.2119,1,452,18.6,309.51,12.69,6.3
2.8161,42,17.64,1,0.64,5.32,44,12.3095,6,668,20.7,240.13,9.65,13.5
0.792,0,11.59,1,0.7,6.59,21,1.5993,2,266,20.2,362.92,16.37,8.5
0.7231,0,7.71,0,0.47,4.74,54,1.4974,6,704,16.2,352.79,17.06,11.8
7.9994,0,12.18,1,0.64,5.52,66,13.6307,24,389,16.7,321.46,20.12,7.3
4.1491,0,-0.18,1,0.6,6.74,59,8.0516,24,633,17.1,286.14,24.29,5
1.5901,0,-2.99,1,0.49,7.05,76,2.3658,8,479,17.6,297.41,26.81,5
3.1858,0,8.8,1,0.47,6.95,35,14.9745,2,424,19.2,386.93,24.97,5
5.9269,0,20.22,0,0.6,6.11,30,4.332,6,347,18.5,397.86,23.95,5
5.2695,0,2.59,0,0.42,6.87,27,1.0276,3,683,22.5,313.65,13.48,5.6
1.0176,0,13.06,1,0.54,5.75,31,6.9325,24,688,20.2,313.03,6.39,10.9
1.2802,0,7.96,0,0.66,7.02,54,3.8742,1,484,17.5,448.71,13.7,9.9
5.5188,0,-2.88,1,0.55,6.47,59,1.7577,3,398,19.6,230.23,5.99,12.9
4.8416,0,14.87,1,0.67,6.67,22,8.0508,6,610,14.8,252.93,12.38,8.8
4.9341,0,17.04,1,0.5,6.84,3,4.5244,3,284,22.4,234.96,9.27,9.0
1.0676,0,12.47,1,0.57,7.35,33,1.6064,24,590,19.8,368.47,18.49,5
1.2398,0,5.15,1,0.57,5.58,68,4.2795,4,247,19.7,311.55,6.42,15.2
0.0186,0,3.02,1,0.56,6.57,92,2.199,2,294,18.2,359.54,12.45,10.1
6.9106,0,9.28,1,0.66,4.37,74,3.5015,3,484,18.6,418.33,12.91,12.5
8.728,0,-3.15,1,0.38,7.13,26,0.7408,2,656,17.9,350.21,8.53,7.0
8.7647,0,7.72,1,0.59,5.66,86,0.7546,3,292,19.6,314.77,21.24,8.6
4.9277,0,18.42,1,0.48,7.64,20,0.6004,1,518,18.0,227.57,7.47,11.1
1.4616,67,11.56,0,0.79,7.23,64,3.9592,5,310,18.9,331.68,9.58,13.6
0.8017,0,5.07,0,0.45,5.41,44,0.3295,6,446,18.5,255.56,15.43,8.6
2.8302,0,10.78,0,0.65,5.54,17,0.1923,1,508,15.5,374.1,5.02,19.2
9.626,0,7.98,0,0.55,5.4,37,3.1261,8,364,21.4,455.97,13.42,10.5
0.3001,0,6.83,1,0.81,5.76,12,6.9906,4,502,21.7,433.48,16.14,10.5
1.2638,0,16.54,0,0.46,6.62,64,1.4625,6,544,20.5,520.36,13.81,6.1
3.8192,0,-0.7,1,0.46,6.53,19,2.099,6,568,19.1,448.45,5.19,14.6
2.151,0,12.97,1,0.48,6.98,75,3.9527,8,671,20.0,326.11,15.66,5.7
4.9585,0,9.77,0,0.61,7.12,100,0.5084,6,656,17.8,386.97,6.91,10.6
0.558,0,17.63,1,0.57,5.65,50,5.933,4,285,17.9,469.23,9.7,16.5
3.0289,0,0.95,0,0.4,6.81,45,2.3202,1,594,22.5,286.42,6.46,9.5
1.8487,0,4.01,1,0.53,7.62,61,5.4703,6,290,19.4,413.1,3.56,13.5
1.8299,0,7.81,0,0.66,6.2,62,4.1496,6,301,18.7,388.1,13.95,14.4
2.0232,0,10.56,1,0.54,6.49,56,1.3723,5,211,18.7,333.26,6.81,12.5
0.1243,0,9.49,0,0.46,6.23,46,11.901,4,656,16.2,542.32,2.77,15.0
3.3755,0,10.05,1,0.73,6.6,33,3.95,1,570,18.8,449.74,15.39,9.4
1.6954,0,13.94,1,0.27,6.56,61,3.0466,6,286,17.9,240.98,22.13,5
1.6424,0,2.12,1,0.63,7.15,70,3.9881,8,448,17.5,368.08,1.86,15.0
4.6324,0,13.16,0,0.61,5.87,98,12.0841,24,427,17.6,258.73,8.7,7.3
4.8539,0,8.73,1,0.49,5.83,52,0.8501,8,693,19.7,453.15,21.78,6.2
2.8929,0,20.66,0,0.58,6.75,4,1.3102,4,357,19.0,254.59,16.73,5
6.9222,0,9.84,0,0.5,6.9,61,2.049,24,434,18.5,380.28,0.51,18.5
18.038,0,2.15,1,0.72,6.96,70,4.1815,24,679,19.3,139.77,15.37,10.5
6.2593,0,26.85,0,0.62,6.52,33,5.2915,4,457,14.6,354.26,8.51,9.4
4.0084,0,1.96,0,0.46,6.07,93,0.5744,5,673,20.7,208.28,18.41,7.4
0.0405,0,21.43,1,0.5,6.51,68,1.5633,24,360,21.0,351.97,14.77,5.3
0.5421,0,26.84,0,0.5,7.01,31,4.508,6,220,18.1,327.47,13.98,5.6
0.986,0,16.56,1,0.48,7.39,10,7.8865,3,497,16.5,387.94,11.67,8.0
3.3495,0,10.53,1,0.41,5.63,74,0.0322,8,301,19.9,410.17,19.23,5.8
3.3244,0,11.18,1,0.45,5.71,66,1.2311,24,301,18.4,495.86,11.43,12.8
3.386,0,15.8,0,0.62,6.3,69,2.1281,5,402,18.8,376.4,21.33,6.7
9.0024,0,8.76,1,0.65,5.77,99,1.7993,8,243,21.0,396.31,16.29,9.3
5.2168,0,13.67,0,0.59,6.01,22,1.3125,24,668,20.1,370.29,4.49,14.5
1.1147,0,1.63,1,0.59,6.43,43,2.8345,5,485,19.3,475.21,21.2,10.0
0.8061,0,10.29,1,0.42,6.6,64,5.3332,1,711,17.5,442.55,13.25,6.8
0.2619,0,12.89,0,0.58,6.52,11,4.8574,8,470,17.4,323.65,14.25,12.0
9.8875,0,9.32,1,0.53,5.28,43,2.5336,4,550,18.8,276.6,2.33,14.7
0.2393,0,6.72,1,0.64,5.34,27,0.7674,8,314,16.8,239.99,17.63,9.5
14.033,57,11.16,0,0.51,6.06,10,1.8981,5,421,19.3,264.18,4.93,12.7
0.9545,0,2.85,0,0.77,6.04,22,1.8114,3,342,22.9,283.2,12.56,17.8
1.0271,0,0.31,0,0.49,6.34,3,1.4291,4,281,18.2,492.63,2.59,13.4
5.5257,0,6.73,1,0.33,5.88,93,0.3379,24,387,15.9,411.61,20.04,5.9
3.1818,0,6.97,1,0.62,7.1,99,7.6597,6,619,18.0,603.28,27.47,5
12.9628,0,15.22,1,0.36,6.83,75,1.7343,4,651,19.4,273.21,-5.58,10.8
2.2272,0,10.42,1,0.62,6.89,5,11.1513,3,283,16.8,220.96,-6.76,17.6
13.8495,0,20.47,0,0.64,5.86,21,2.7585,1,558,18.9,189.31,24.08,6.2
10.3467,0,16.96,1,0.54,5.63,41,0.7805,2,247,19.5,352.46,22.04,5
2.9835,0,18.69,1,0.51,5.63,15,4.923,24,424,19.3,348.34,9.98,13.7
7.3916,0,13.65,0,0.8,7.76,30,2.4663,2,558,18.4,344.83,27.96,5
1.3291,0,15.85,1,0.45,7.07,79,6.0551,8,578,21.7,399.03,19.35,5
3.4718,0,20.91,0,0.67,6.51,74,0.6645,6,288,17.3,220.5,19.92,6.6
11.2312,0,10.32,1,0.66,6.68,73,4.9107,6,597,22.5,253.64,4.98,14.4
11.2619,0,15.39,0,0.59,6.3,50,0.7528,24,546,17.5,330.28,7.2,12.2
1.1709,0,11.76,0,0.48,7.26,53,6.3732,3,535,18.7,441.66,13.52,5
3.6706,0,14.0,0,0.48,5.69,4,6.4954,24,636,17.8,374.09,22.57,8.7
12.8983,0,-3.1,1,0.63,4.74,32,1.2863,6,265,16.6,446.08,12.18,17.8
4.2445,0,15.97,1,0.57,6.58,57,0.2228,3,209,19.0,250.12,17.78,6.7
4.2298,0,7.47,0,0.53,6.61,74,5.3385,8,334,20.7,452.29,16.15,5
0.586,0,3.43,0,0.51,5.91,89,1.6338,8,577,19.3,328.94,6.66,16.2
0.6801,0,5.46,0,0.42,6.33,79,0.2094,1,569,17.6,464.45,10.98,6.4
2.2985,0,5.83,0,0.6,6.85,21,5.6132,24,218,25.0,425.71,8.16,10.4
3.1661,0,11.94,1,0.43,6.25,7,1.4789,24,288,24.5,389.02,13.67,8.5
0.4853,0,9.43,0,0.55,5.88,51,1.2171,5,243,18.6,456.66,23.13,5.6
4.4807,0,8.87,0,0.76,6.14,24,2.3693,1,406,16.7,228.68,1.23,13.0
5.9322,0,1.51,0,0.37,6.5,56,3.8022,5,396,20.9,234.11,-4.29,17.4
4.8575,0,13.52,0,0.55,5.38,90,1.6928,5,478,20.2,423.33,18.4,6.0
0.1212,0,4.92,1,0.28,6.79,80,1.5449,3,639,18.8,294.5,7.53,11.3
10.0135,0,8.75,0,0.52,6.03,25,3.2892,6,636,15.6,490.59,9.56,11.8
0.3936,0,8.68,0,0.62,5.99,30,4.7874,1,262,18.3,299.42,-2.55,16.8
0.9591,0,4.29,0,0.47,5.83,95,0.6386,8,450,20.6,253.09,18.12,6.0
6.1114,0,5.1,1,0.54,7.31,45,1.3151,8,323,19.5,301.38,17.62,8.4
4.8127,0,8.83,1,0.59,6.46,29,1.3734,3,580,21.1,250.07,22.0,6.3
5.3788,0,9.0,0,0.66,6.86,69,4.4307,1,286,19.6,301.41,-5.54,20.4
2.1484,0,5.4,0,0.65,6.08,81,1.757,24,474,16.3,402.18,10.3,16.2
8.9094,0,12.56,0,0.67,5.9,21,0.3921,4,515,15.1,425.33,24.09,6.6
15.9724,0,16.22,1,0.41,5.16,91,1.2207,24,630,17.7,393.31,13.87,7.2
1.6389,0,17.81,1,0.49,7.33,92,1.3958,6,454,18.9,394.08,12.72,5.6
5.3892,0,21.17,1,0.75,5.2,60,3.3232,6,295,18.9,437.77,15.49,10.5
0.7867,0,3.57,0,0.54,5.77,88,2.9868,1,640,17.1,234.62,15.24,8.3
16.0862,0,3.29,1,0.59,5.85,46,4.4323,1,444,17.6,220.77,17.99,14.8
