X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
0.92,6,0.86,0.18,0.09,0.42,2,3.89,11.33,10
0.8,6,0.86,0.39,0.07,0.0,3,1.5,12.94,15.54
0.72,2,0.97,0.26,0.23,0.77,3,4.74,10,10
0.76,6,0.74,0.31,0.1,0.66,1,4.57,10,10
0.91,3,0.78,0.15,0.06,0.18,5,2.12,12.15,15.52
0.83,5,0.78,0.25,0.01,0.73,0,3.92,10,10
0.65,7,0.85,0.04,0.01,0.73,5,1.88,10,10
0.69,2,0.75,0.09,0.23,0.85,3,4.45,10,10
0.96,3,0.71,0.01,0.27,0.67,0,1.54,11.06,12.81
0.65,4,0.74,0.26,0.06,0.56,5,2.07,10,10
0.88,3,0.95,0.14,0.19,0.94,0,3.83,10,10
0.83,5,0.65,0.29,0.28,0.71,2,2.96,10,10
0.89,4,0.84,0.34,0.05,0.35,0,4.34,13.82,10.17
0.91,4,0.89,0.09,0.09,0.25,2,3.22,12.01,12.39
0.73,4,0.71,0.2,0.29,0.11,2,3.52,11.75,11.69
0.65,2,0.85,0.0,0.1,0.97,3,3.15,10,10
0.8,5,0.7,0.02,0.06,0.93,5,4.61,10,10
0.81,2,0.95,0.03,0.28,0.65,4,4.54,10,10
0.9,3,0.95,0.05,0.11,0.35,2,1.57,10.1,11.62
0.95,8,0.68,0.08,0.26,0.2,1,4.06,14.4,11.9
0.94,3,0.79,0.28,0.01,0.38,2,3.2,12.31,10.79
0.7,4,0.66,0.2,0.15,0.65,5,3.15,10,10
0.7,3,0.79,0.2,0.23,0.27,4,1.18,10.68,10
0.93,2,0.88,0.33,0.04,0.76,3,1.6,10,10
0.75,8,0.69,0.29,0.14,0.17,2,2.29,13.46,10.74
0.82,5,0.66,0.35,0.11,0.98,5,1.44,10,10
0.67,4,0.84,0.17,0.11,0.53,2,3.81,10,10
0.78,6,0.77,0.34,0.17,0.75,1,4.98,10,10
0.92,4,0.77,0.34,0.06,0.76,1,2.98,10,10
0.85,1,0.84,0.13,0.06,0.02,1,4.09,12.6,11.29
0.98,5,0.79,0.27,0.18,0.4,3,1.91,12.63,11.49
0.96,7,0.72,0.32,0.18,0.2,1,3.48,14.4,11.1
0.89,5,0.67,0.32,0.04,0.41,0,4.82,11.96,10.97
0.7,2,0.83,0.16,0.13,0.19,1,1.48,11.26,10.99
0.75,5,0.91,0.12,0.15,0.74,0,4.07,10,10
0.9,8,0.84,0.28,0.04,0.4,2,1.98,10.48,11.85
0.63,8,0.83,0.38,0.05,0.71,5,4.09,10,10
0.89,6,0.93,0.09,0.06,0.11,3,3.22,14.95,10
0.93,8,0.78,0.13,0.2,0.93,2,4.38,11.14,10
0.9,7,0.81,0.32,0.0,0.62,3,3.47,10,11.17
0.83,7,0.9,0.37,0.2,0.39,3,4.46,11.54,10
0.67,7,0.81,0.35,0.07,0.81,3,3.93,10,10
0.7,6,0.67,0.1,0.0,0.79,3,2.44,10,10
0.9,1,0.66,0.18,0.27,0.79,5,1.52,10,10
0.95,7,0.66,0.21,0.11,0.71,3,2.71,11.25,10.05
0.76,2,0.97,0.17,0.03,0.7,2,3.25,10,10
0.95,4,0.69,0.23,0.06,0.97,5,3.09,10,10
0.97,5,0.68,0.08,0.09,0.55,2,4.8,12.68,11.35
0.79,1,0.89,0.05,0.08,0.87,5,2.31,10,10
0.8,2,0.87,0.16,0.01,0.23,5,1.46,10.03,10.17
0.96,1,0.64,0.06,0.01,0.92,5,3.8,10,10
0.74,3,0.67,0.24,0.03,0.99,2,3.62,10,10
0.71,1,0.83,0.04,0.27,0.57,3,2.33,10,10
0.76,7,0.88,0.22,0.13,0.85,2,1.1,10,10
0.84,8,0.75,0.39,0.05,0.97,5,3.91,10,10.51
0.77,5,0.71,0.07,0.15,0.37,4,3.31,10.24,11.84
0.63,2,0.82,0.05,0.24,0.47,0,2.03,10,10
0.77,7,0.81,0.25,0.26,0.38,4,4.6,10.69,11.24
0.66,8,0.91,0.19,0.24,0.34,5,3.17,10,11.03
0.84,4,0.88,0.1,0.05,0.84,3,3.57,10,10
0.96,1,0.93,0.1,0.03,0.67,1,1.66,10.2,10
0.62,5,0.9,0.38,0.24,0.93,0,4.57,10,10
0.76,4,0.96,0.1,0.15,0.07,1,2.19,13.12,10.17
0.93,8,0.7,0.28,0.03,0.63,0,2.33,10.98,10
0.72,3,0.66,0.23,0.17,0.15,3,4.24,10.95,10
0.87,1,0.9,0.36,0.16,0.27,3,1.62,12.96,11.59
0.7,3,0.76,0.29,0.0,0.85,5,4.74,10,10
0.8,1,0.83,0.06,0.23,0.21,3,1.12,12.73,11.61
0.8,5,0.69,0.16,0.15,0.19,2,2.34,10.85,10
0.87,3,0.81,0.13,0.16,0.5,5,1.97,10,10
0.8,4,0.97,0.29,0.16,0.44,3,4.11,10.13,10
0.98,7,0.84,0.36,0.28,0.78,1,4.53,11.06,10
0.79,6,0.84,0.3,0.06,0.07,1,3.43,13.14,11.81
0.68,4,0.82,0.27,0.19,0.25,4,2.6,10.73,10
0.81,6,0.84,0.34,0.29,0.94,5,4.44,10,10
0.79,5,0.84,0.33,0.26,0.3,2,4.38,10.96,10
0.63,6,0.83,0.02,0.2,0.13,4,3.11,10.79,10.03
0.81,2,0.74,0.01,0.29,0.22,1,4.81,12.45,10.41
0.7,5,0.66,0.31,0.28,0.7,4,3.53,10,10
0.87,5,0.9,0.31,0.21,0.3,0,2.69,11.97,10
0.66,6,0.73,0.11,0.19,0.51,2,1.06,10.18,10
0.81,1,0.8,0.1,0.14,0.68,5,2.96,10.08,10
0.64,1,0.71,0.07,0.2,0.3,2,2.21,10,10
0.85,4,0.94,0.3,0.06,0.07,2,2.46,14.35,10.66
0.77,8,0.74,0.12,0.27,0.97,4,4.09,10,10
0.82,2,0.77,0.34,0.06,0.88,4,3.64,10,10
0.94,1,0.9,0.28,0.14,0.82,4,1.52,10.62,10
0.97,7,0.72,0.13,0.01,0.81,5,1.7,10,10
0.83,5,0.97,0.27,0.2,0.49,1,2.0,11.14,10.16
0.71,3,0.73,0.0,0.12,0.52,5,3.46,10,10
0.95,1,0.95,0.29,0.12,0.36,4,1.67,11.83,11.3
0.89,3,0.9,0.22,0.01,0.32,3,1.68,12.13,10.41
0.73,5,0.67,0.04,0.04,0.68,2,2.5,10,10
0.71,1,0.78,0.12,0.27,0.89,5,1.04,10,10
0.79,7,0.91,0.24,0.07,0.47,3,4.64,10,10
0.79,5,0.9,0.03,0.25,0.67,5,2.65,10.46,10
0.82,5,0.86,0.33,0.15,0.58,5,4.42,10,10
0.76,2,0.88,0.12,0.01,0.43,1,1.57,10.02,10
0.68,8,0.65,0.38,0.1,0.39,1,3.52,11.94,10
0.73,3,0.63,0.11,0.11,0.13,0,3.92,11.29,10
0.62,7,0.96,0.15,0.04,0.02,5,1.6,10.42,10.9
0.75,4,0.86,0.03,0.24,0.54,2,4.78,10,10
0.82,7,0.7,0.22,0.25,0.93,1,2.16,10,10
0.73,2,0.89,0.38,0.22,0.64,3,1.05,10,10
0.71,2,0.74,0.21,0.15,0.16,2,4.31,10.2,10
0.64,3,0.81,0.34,0.08,0.51,3,4.65,10,10
0.66,6,0.98,0.27,0.17,0.19,3,4.21,10.98,10
0.96,7,0.89,0.34,0.09,0.59,2,2.87,11.25,10
0.96,8,0.82,0.31,0.24,0.8,3,3.93,10.22,10
0.77,1,0.83,0.15,0.2,0.37,4,2.97,10.08,10
0.86,7,0.93,0.35,0.09,0.63,1,1.07,10,10
0.8,3,0.96,0.36,0.06,0.11,4,4.59,11.42,11.5
0.75,3,0.66,0.12,0.11,0.39,4,3.33,10.88,10
0.82,5,0.92,0.28,0.01,0.39,4,2.09,11.95,11.52
0.75,8,0.69,0.35,0.1,0.42,3,3.31,10.72,10.03
0.9,4,0.93,0.31,0.26,0.4,4,4.58,11.21,11.77
0.8,8,0.76,0.19,0.21,0.37,3,2.18,11.8,12.12
0.7,1,0.83,0.04,0.19,0.9,4,2.76,10,10
0.77,4,0.92,0.11,0.08,0.41,1,1.47,11.67,10
0.97,8,0.68,0.31,0.24,0.5,1,1.86,12.88,10
0.91,3,0.73,0.17,0.15,0.07,1,4.55,11.81,13.12
0.77,2,0.98,0.39,0.18,0.64,5,3.85,10.55,10.35
0.71,6,0.73,0.35,0.11,0.39,3,3.74,10.81,10
0.74,4,0.64,0.1,0.11,0.69,4,4.54,10,10
0.93,1,0.63,0.15,0.24,0.72,4,4.61,10.44,10
0.85,2,0.8,0.38,0.06,0.29,1,1.01,10.79,11.22
0.68,8,0.63,0.33,0.13,0.52,3,3.57,10.41,10
0.76,2,0.65,0.17,0.03,0.24,2,2.56,10.56,10.53
0.89,2,0.77,0.17,0.16,0.68,1,2.69,10,10
0.97,1,0.82,0.35,0.21,0.14,1,4.43,13.98,14.2
0.71,4,0.94,0.21,0.02,0.27,0,4.03,10,10.87
0.95,5,0.73,0.32,0.2,0.47,2,2.51,13.3,10
0.97,3,0.84,0.0,0.28,0.95,4,2.93,10,10
0.8,1,0.97,0.18,0.11,0.48,0,4.49,10,10
0.81,4,0.95,0.02,0.01,0.34,4,1.35,11.61,10.35
0.72,1,0.65,0.22,0.18,0.77,1,2.91,10,10
0.69,5,0.66,0.2,0.28,0.73,5,1.99,10,10
0.83,3,0.68,0.11,0.05,0.88,2,4.17,10,10
0.95,6,0.83,0.07,0.04,0.05,4,2.96,13.47,14.47
0.82,3,0.75,0.35,0.21,0.12,1,1.71,12.14,10.94
0.74,3,0.64,0.26,0.17,0.11,3,4.76,10.43,10.5
0.97,3,0.95,0.36,0.21,0.36,0,3.99,12.25,10.66
0.79,8,0.88,0.32,0.14,0.65,4,1.63,10,10
0.94,2,0.94,0.36,0.02,0.44,0,3.6,12.93,10
0.95,8,0.69,0.2,0.05,0.73,0,1.15,10.24,10.16
0.63,2,0.73,0.09,0.04,0.58,4,4.23,10.29,10
0.64,3,0.7,0.19,0.07,0.23,3,1.57,10.02,10
0.79,4,0.95,0.39,0.01,0.14,1,3.03,12.43,14.1
0.84,5,0.68,0.18,0.14,0.03,3,3.12,12.67,12.58
0.95,6,0.93,0.38,0.07,0.86,3,3.51,10,10.24
0.66,6,0.71,0.38,0.2,0.21,2,1.17,10.01,10
0.74,2,0.62,0.21,0.05,0.82,3,1.38,10,10
0.92,7,0.72,0.33,0.21,0.56,3,3.72,12.23,10.03
0.8,4,0.96,0.3,0.16,0.74,3,3.15,10,10
0.92,2,0.62,0.37,0.28,0.79,1,1.46,10.19,10
0.98,7,0.83,0.39,0.03,0.56,0,4.23,11.16,10
0.88,1,0.8,0.25,0.27,0.34,4,3.76,10.59,10
0.76,7,0.64,0.32,0.19,0.11,5,2.09,12.98,10.77
0.77,8,0.66,0.09,0.11,0.91,5,4.2,10,10
0.9,8,0.75,0.14,0.2,0.56,1,3.9,12.44,12.58
0.92,6,0.95,0.39,0.03,0.19,0,4.61,12.8,10.9
0.77,4,0.75,0.05,0.19,0.55,1,3.63,10,10
0.64,4,0.95,0.4,0.26,0.5,4,3.72,10.04,10
0.95,6,0.88,0.32,0.26,0.16,2,1.07,12.93,12.12
0.73,6,0.87,0.37,0.09,0.42,4,4.82,10.29,10
0.69,4,0.62,0.25,0.17,0.07,5,3.67,11.28,11.53
0.88,1,0.95,0.01,0.01,0.35,3,3.51,10,10
0.77,2,0.77,0.02,0.16,0.43,4,1.43,10,10
0.74,1,0.9,0.14,0.27,0.51,2,1.19,11.93,10
0.81,8,0.92,0.03,0.07,0.17,4,2.25,10.28,10.53
0.94,1,0.96,0.35,0.07,0.15,5,4.15,13.03,10
0.96,2,0.71,0.33,0.1,0.02,3,1.34,14.09,12.67
0.74,3,0.71,0.36,0.01,0.26,4,3.96,11.35,12.25
0.88,4,0.71,0.26,0.24,0.83,2,3.02,10,10
0.7,1,0.64,0.29,0.08,0.1,5,2.62,11.74,10
0.64,2,0.95,0.25,0.24,0.8,4,2.15,10,10
0.64,2,0.81,0.29,0.09,0.3,2,2.66,10,10
0.85,8,0.69,0.37,0.21,0.08,1,2.49,12.53,13.59
0.68,3,0.87,0.35,0.09,0.76,3,2.55,10,10
0.95,2,0.85,0.15,0.18,0.37,0,2.48,11.35,13.14
0.95,1,0.64,0.38,0.3,0.8,2,2.74,10.02,10
0.84,6,0.95,0.3,0.27,0.82,3,2.44,10,10
0.63,2,0.89,0.13,0.05,0.03,2,1.1,10.33,11.11
0.66,2,0.79,0.31,0.01,0.3,2,1.7,10,10
0.86,8,0.78,0.2,0.06,0.11,5,1.96,12.98,13.4
0.73,2,0.85,0.16,0.02,0.44,2,3.31,10,10
0.93,6,0.95,0.07,0.16,0.87,2,2.29,10.82,10
0.97,4,0.77,0.02,0.07,0.49,2,1.94,12.08,10
0.75,1,0.82,0.27,0.17,0.25,3,2.33,10.58,12.15
0.62,7,0.69,0.14,0.09,0.27,0,3.51,11.83,10
0.64,5,0.79,0.29,0.27,0.61,2,4.79,10,10
0.92,4,0.72,0.4,0.05,0.36,2,3.54,12.38,10.97
0.85,7,0.83,0.15,0.07,0.04,0,1.49,12.72,12.79
0.85,5,0.76,0.16,0.06,0.31,4,1.85,12.07,10
0.73,2,0.77,0.35,0.11,0.32,3,4.85,11.59,10
0.73,7,0.98,0.32,0.06,0.6,5,4.96,10,10
0.82,2,0.87,0.4,0.07,0.49,1,4.71,10.05,10
0.83,7,0.82,0.37,0.28,0.69,3,4.45,11.31,10
0.92,2,0.78,0.01,0.16,0.23,4,1.26,11.89,10
0.66,5,0.64,0.12,0.3,0.23,3,4.85,10.27,10
0.94,4,0.83,0.33,0.26,0.18,2,3.89,12.78,14.33
0.83,3,0.93,0.01,0.05,0.22,1,1.04,13.54,10.03
0.95,7,0.64,0.04,0.07,0.35,5,2.46,12.29,11.83
0.87,8,0.93,0.37,0.28,0.09,1,2.54,13.17,11.23
0.89,1,0.92,0.25,0.21,0.09,4,1.16,13.18,12.16
0.74,8,0.71,0.38,0.16,0.36,3,2.06,10.22,10.61
0.8,2,0.62,0.31,0.13,0.99,3,2.38,10,10
0.93,2,0.84,0.01,0.25,0.75,0,1.67,10,10
0.94,6,0.86,0.15,0.23,0.54,2,2.19,11.08,10.48
0.88,5,0.64,0.3,0.09,0.86,4,3.89,11.06,10
0.78,7,0.81,0.12,0.18,0.85,5,4.0,10,10
0.7,3,0.78,0.24,0.03,0.35,2,1.01,10,10
0.64,3,0.87,0.34,0.27,0.55,5,1.62,10,10
0.92,4,0.91,0.12,0.08,0.26,3,4.41,12.72,12.18
0.68,2,0.97,0.25,0.03,0.88,4,2.42,10,10
0.76,3,0.7,0.09,0.11,0.07,5,3.34,12.25,12.39
0.91,6,0.78,0.08,0.14,0.55,0,1.22,11.79,10
0.93,4,0.64,0.04,0.02,0.18,1,2.76,12.9,11.35
0.92,6,0.93,0.05,0.28,0.76,1,4.03,11.35,10
0.97,6,0.89,0.03,0.12,0.97,2,2.34,10.0,10
0.76,3,0.65,0.09,0.02,0.11,0,2.22,11.44,12.01
0.86,5,0.74,0.38,0.17,0.71,2,1.33,10,10.27
0.63,6,0.72,0.0,0.16,0.73,4,3.94,10,10
0.63,8,0.89,0.16,0.03,0.61,0,4.44,10,10
0.89,2,0.7,0.04,0.27,0.02,5,4.69,12.95,12.04
0.83,7,0.77,0.32,0.16,0.33,5,2.7,10.92,12.79
0.75,6,0.79,0.12,0.02,0.87,2,4.79,10,10
0.82,2,0.66,0.22,0.03,0.38,3,4.94,10.86,10
0.9,2,0.87,0.25,0.12,0.41,2,2.83,11.59,10.91
0.88,3,0.87,0.22,0.18,0.78,3,3.35,10,10
0.79,1,0.66,0.22,0.09,0.07,1,1.67,10.87,10
0.89,4,0.64,0.21,0.27,0.73,3,4.79,10,10
0.68,6,0.9,0.23,0.3,0.36,3,2.7,10.66,10
0.67,3,0.91,0.02,0.12,0.37,2,4.52,10,10
0.63,8,0.74,0.1,0.23,0.37,5,4.59,10,10
0.82,2,0.93,0.37,0.02,0.94,5,2.68,10,10
0.65,2,0.77,0.38,0.29,0.45,4,3.09,10,10
0.88,4,0.83,0.23,0.26,0.49,4,4.77,10.89,11.09
0.68,5,0.72,0.03,0.28,0.13,4,1.87,10.16,10.97
0.63,3,0.98,0.14,0.23,0.73,1,2.99,10,10
0.94,6,0.89,0.12,0.01,0.86,4,1.53,10,10.4
0.88,6,0.98,0.04,0.29,0.28,4,3.72,13.09,10.85
0.68,4,0.68,0.21,0.29,0.25,2,1.03,12.15,10
0.75,5,0.95,0.39,0.12,0.79,1,2.08,10,10
0.87,2,0.92,0.04,0.21,0.05,3,1.71,11.32,14.04
0.95,3,0.77,0.07,0.11,0.27,1,3.92,11.76,10
0.91,3,0.72,0.09,0.18,0.75,2,1.02,10,10
0.67,7,0.89,0.28,0.15,0.77,3,4.63,10,10
0.82,8,0.63,0.37,0.09,0.39,0,1.84,10.82,10.0
0.84,7,0.86,0.08,0.21,0.85,0,2.02,10.54,10
0.7,5,0.68,0.05,0.22,0.73,1,2.19,10,10
0.91,2,0.77,0.35,0.01,0.03,4,4.62,14.02,11.42
0.7,5,0.9,0.36,0.21,0.36,2,2.63,10,10
0.92,3,0.88,0.02,0.06,0.35,3,2.43,12.51,11.45
0.73,7,0.79,0.17,0.11,0.42,3,2.59,10.08,10
0.73,2,0.76,0.23,0.3,0.73,2,4.64,10,10
0.93,5,0.88,0.11,0.19,0.12,3,1.38,13.99,12.28
0.73,1,0.74,0.27,0.16,0.23,3,2.41,10.99,10
0.98,4,0.9,0.04,0.16,0.5,0,4.87,12.12,11.8
0.74,6,0.66,0.36,0.29,0.04,5,3.79,12.87,13.42
0.64,6,0.83,0.0,0.06,0.79,1,4.17,10,10
0.83,6,0.83,0.07,0.08,0.61,3,1.44,10,10.11
0.64,2,0.66,0.19,0.0,0.13,0,3.68,10,10
0.94,5,0.97,0.28,0.19,0.47,1,4.29,12.18,10
0.82,2,0.66,0.38,0.09,0.99,4,2.99,10,10
0.68,6,0.7,0.33,0.27,0.35,1,2.45,10.5,10.65
0.69,2,0.67,0.08,0.26,0.78,5,4.59,10,10
0.87,3,0.92,0.04,0.06,0.69,3,4.89,10,10
0.63,7,0.62,0.34,0.09,0.73,5,1.52,10,10
0.7,4,0.77,0.02,0.14,0.52,1,4.4,10,10
0.77,5,0.64,0.18,0.03,0.03,0,2.79,11.97,10
0.8,7,0.65,0.08,0.3,0.34,4,2.95,11.26,11.69
0.79,3,0.82,0.38,0.2,0.31,1,2.55,10.75,11.24
0.84,7,0.89,0.28,0.12,0.2,4,2.84,12.68,10
0.75,4,0.94,0.09,0.08,0.9,1,3.05,10,10
0.77,7,0.62,0.02,0.17,0.46,2,2.84,11.52,10
0.74,3,0.84,0.24,0.05,0.87,2,4.72,10,10
0.73,4,0.83,0.09,0.25,0.94,4,2.56,10,10
0.67,2,0.84,0.23,0.14,0.7,4,3.75,10,10
0.88,1,0.93,0.27,0.19,0.84,4,2.65,10.08,10
0.92,5,0.95,0.05,0.19,0.61,3,2.18,12.06,10
0.88,6,0.84,0.38,0.04,0.75,2,1.44,10.63,10
0.68,2,0.66,0.2,0.09,0.31,5,4.09,10.63,10
0.97,2,0.87,0.31,0.03,0.65,2,3.05,11.17,10
0.95,3,0.96,0.39,0.19,0.51,0,2.06,13.15,10
0.85,8,0.94,0.3,0.19,0.31,3,4.72,12.71,10
0.9,8,0.63,0.18,0.21,0.19,3,4.05,13.46,10
0.67,4,0.97,0.39,0.15,0.78,4,3.52,10,10
0.69,5,0.75,0.11,0.11,0.51,3,1.7,10,10
0.93,3,0.84,0.19,0.01,0.36,4,4.17,11.17,10
0.72,3,0.92,0.13,0.22,0.5,3,4.73,10,10
0.87,7,0.78,0.1,0.11,0.87,1,2.82,10.35,10
0.62,2,0.78,0.24,0.26,0.35,2,4.5,10,10
0.93,3,0.65,0.14,0.13,0.85,3,2.08,10,10
0.64,1,0.7,0.16,0.29,0.52,5,3.82,10,10
0.78,5,0.95,0.01,0.07,0.76,4,3.51,10,10
0.85,7,0.88,0.18,0.14,0.89,0,1.04,10.77,10
0.92,6,0.65,0.03,0.18,0.67,5,3.26,10.68,10.35
0.7,5,0.97,0.04,0.1,0.85,5,2.34,10,10
0.88,1,0.66,0.22,0.03,0.92,4,4.9,10.24,10
0.85,2,0.75,0.05,0.27,0.98,1,2.05,10,10
0.89,4,0.8,0.38,0.12,0.81,0,3.63,10,10
0.95,1,0.88,0.12,0.11,0.09,1,1.71,13.87,11.51
0.78,1,0.72,0.36,0.3,0.89,1,2.29,10,10
0.66,6,0.68,0.12,0.21,0.07,2,1.32,10,10.91
0.92,6,0.81,0.09,0.28,0.17,1,3.15,15.36,14.12
0.8,6,0.77,0.29,0.12,0.91,4,2.07,10,10
0.97,4,0.94,0.25,0.15,0.67,3,2.32,10,10.04
0.62,5,0.74,0.34,0.15,0.25,5,3.88,10.23,10
0.91,8,0.66,0.4,0.09,0.39,2,4.68,13.95,10
0.77,2,0.63,0.03,0.27,0.55,4,3.16,10.79,10
0.66,5,0.79,0.2,0.19,0.28,2,2.02,10.8,10
0.65,2,0.82,0.31,0.02,0.88,0,3.27,10,10
0.94,3,0.65,0.14,0.03,0.81,1,3.72,10.14,10.44
0.77,2,0.73,0.18,0.13,0.16,4,2.47,12.73,11.24
0.69,5,0.82,0.14,0.16,0.07,0,3.88,11.29,10
0.88,2,0.83,0.39,0.22,0.24,3,2.81,12.47,10.52
0.93,4,0.7,0.38,0.09,0.69,2,3.67,11.0,10
0.93,8,0.67,0.24,0.23,0.81,4,3.15,10,10
0.96,1,0.78,0.34,0.23,0.03,5,4.92,13.98,11.19
0.87,8,0.98,0.02,0.04,0.22,3,4.64,12.07,10.92
0.67,6,0.94,0.24,0.11,0.9,3,4.14,10,10
0.8,3,0.7,0.01,0.14,0.98,0,2.61,10,10
0.76,3,0.79,0.11,0.16,0.87,5,4.23,10,10
0.76,1,0.85,0.25,0.29,0.4,4,3.11,10,10.05
0.71,3,0.65,0.03,0.25,0.74,1,3.94,10,10
0.98,5,0.96,0.21,0.1,0.25,2,3.99,12.67,10
0.96,5,0.98,0.04,0.28,0.09,5,3.64,14.54,12.81
0.7,8,0.83,0.1,0.25,0.44,1,1.47,11.48,10
0.89,2,0.85,0.02,0.26,0.5,3,4.24,10.83,12.09
0.87,8,0.67,0.15,0.18,0.77,3,4.72,10,10.57
0.97,7,0.97,0.04,0.1,0.04,4,2.49,14.86,14.21
0.87,6,0.64,0.36,0.24,0.58,0,1.57,10,10.38
0.65,2,0.8,0.19,0.2,0.43,1,4.43,10.69,10
0.81,6,0.96,0.19,0.07,0.13,2,3.22,13.53,10
0.65,1,0.92,0.12,0.29,0.24,3,4.51,10,10
0.86,1,0.74,0.32,0.02,0.54,5,2.52,11.49,10
0.96,2,0.83,0.3,0.26,0.79,0,3.12,10,10
0.69,7,0.98,0.31,0.09,0.02,0,3.21,12.03,12.59
0.88,7,0.85,0.07,0.02,0.17,5,3.64,13.56,14.03
0.9,4,0.82,0.08,0.01,0.39,1,3.6,12.18,12.35
0.79,8,0.89,0.18,0.13,0.74,5,4.73,11.23,10
0.79,6,0.84,0.11,0.0,0.5,2,3.34,10.74,11.01
0.97,6,0.75,0.29,0.04,0.37,2,4.83,12.99,10
0.98,2,0.71,0.36,0.23,0.74,1,2.4,10,10
0.88,4,0.62,0.17,0.24,0.63,1,1.43,10,10
0.69,7,0.79,0.28,0.02,0.18,0,4.78,11.68,11.79
0.67,2,0.65,0.21,0.01,0.57,1,3.65,10,10
0.69,2,0.69,0.32,0.18,0.63,4,3.25,10,10
0.77,2,0.82,0.11,0.06,0.32,5,4.23,11.76,11.79
0.82,6,0.97,0.21,0.23,0.49,4,2.74,10,10
0.72,7,0.71,0.06,0.06,0.34,4,3.12,10,10.41
0.79,3,0.83,0.32,0.27,0.26,1,4.18,11.74,10.35
0.79,4,0.92,0.08,0.2,0.75,2,4.58,10,10
0.88,2,0.72,0.31,0.25,0.54,2,4.55,11.75,10
0.94,4,0.85,0.07,0.12,0.22,2,3.73,11.58,10.15
0.96,5,0.73,0.17,0.11,0.67,4,1.23,12.75,10.47
