Year,Mileage,EngineSize,BHP,Seats,Doors,Transmission,FuelType,Price
2014,206893,2.5,54,4,4,Automatic,Electric,34363.08
2015,227987,2.6,156,5,5,Manual,Hybrid,27413.59
2007,202740,4.3,167,5,2,Automatic,Petrol,27522.06
2001,126727,5.0,233,5,2,Automatic,Petrol,37400.41
2000,237428,4.3,90,2,5,Automatic,Petrol,14749.3
2010,151847,1.1,89,4,4,Automatic,Electric,30588.53
2017,151642,1.0,147,2,4,Manual,Petrol,28643.05
2020,94100,1.3,145,7,5,Manual,Hybrid,45352.37
2001,119454,3.7,128,2,4,Automatic,Electric,34675.59
2000,78276,4.1,128,2,5,Manual,Diesel,26885.14
2017,208311,3.7,104,7,2,Manual,Petrol,25409.11
2015,15427,3.9,141,7,5,Automatic,Diesel,40579.54
2014,176433,3.2,222,7,5,Automatic,Diesel,27755.84
2011,34759,3.3,24,5,5,Manual,Diesel,22043.46
2007,8264,2.1,185,4,2,Automatic,Electric,41705.67
2018,232088,3.3,244,2,2,Automatic,Hybrid,31335.07
2002,114559,2.9,148,7,2,Manual,Diesel,18766.08
2008,125704,1.3,71,2,4,Manual,Diesel,18421.4
2013,184162,1.4,12,4,5,Automatic,Diesel,22835.07
2002,33877,2.0,202,2,4,Automatic,Petrol,32944.05
2001,210197,2.8,115,5,5,Automatic,Diesel,23000.02
2016,163042,4.2,139,7,2,Manual,Electric,43542.03
2020,109869,2.3,79,7,2,Manual,Hybrid,52626.8
2011,196845,2.4,84,2,4,Automatic,Electric,33421.51
2013,191504,3.1,284,5,2,Manual,Hybrid,24982.38
2009,129973,2.7,91,5,4,Manual,Petrol,16739.99
2003,161527,1.0,57,4,2,Automatic,Hybrid,18182.86
2011,158708,2.7,55,4,2,Automatic,Diesel,23587.81
2020,144882,0.9,116,2,5,Automatic,Electric,37098.26
2016,3420,2.6,165,4,5,Automatic,Diesel,38165.89
2011,234969,4.4,51,4,5,Automatic,Diesel,20669.78
2014,219781,0.9,93,5,5,Automatic,Diesel,15974.46
2016,198793,1.8,147,7,5,Manual,Diesel,21170.84
2019,144050,4.2,78,2,5,Manual,Diesel,25970.42
2015,26830,1.9,137,2,2,Manual,Hybrid,42088.06
2006,52604,4.7,150,2,2,Automatic,Diesel,28220.87
2019,113314,4.5,172,2,5,Automatic,Electric,53517.84
2003,117519,2.9,196,4,5,Automatic,Hybrid,29031.5
2011,198828,3.5,150,4,4,Manual,Electric,39384.37
2000,81453,1.3,149,4,2,Manual,Petrol,13079.95
2006,117385,2.4,132,2,2,Automatic,Electric,38921.14
2013,136299,3.5,124,4,2,Manual,Diesel,20116.25
2011,219972,4.8,119,4,2,Manual,Petrol,21858.79
2010,6338,1.4,125,5,5,Automatic,Electric,33697.09
2017,187473,2.1,86,4,4,Manual,Hybrid,32344.03
2004,77045,1.6,133,2,5,Automatic,Electric,20000
2006,101895,1.5,143,2,2,Automatic,Diesel,14289.48
2010,248125,4.4,53,5,4,Automatic,Diesel,18270.46
2006,92734,4.4,191,4,2,Automatic,Hybrid,30960.57
2005,144302,1.5,56,7,4,Manual,Diesel,14476.41
2020,144800,4.7,53,5,2,Manual,Electric,56170.49
2015,202146,1.4,142,5,5,Manual,Electric,37014.64
2004,44761,2.2,-33,7,5,Manual,Petrol,11859.99
2003,80796,4.1,94,5,2,Manual,Diesel,23946.15
2000,90944,3.4,141,2,2,Manual,Hybrid,36746.27
2015,196027,3.6,222,2,5,Automatic,Hybrid,34616.71
2013,245268,2.9,179,5,4,Automatic,Hybrid,34617.93
2007,83816,2.4,132,5,4,Manual,Hybrid,27717.54
2016,128576,3.5,68,4,2,Manual,Hybrid,32835.58
2014,42834,2.3,233,5,4,Automatic,Hybrid,43618.77
2009,137142,3.9,147,4,5,Manual,Electric,48848.18
2012,180335,2.7,134,7,4,Manual,Petrol,26030.66
2000,71504,1.0,41,5,2,Automatic,Diesel,12948.35
2003,209808,1.1,73,7,5,Automatic,Electric,22408.74
2015,53663,4.9,82,5,5,Manual,Diesel,34473.53
2010,110968,3.2,98,5,5,Automatic,Hybrid,43548.43
2008,80295,1.4,120,2,4,Manual,Diesel,16251.05
2020,24498,4.4,125,2,5,Automatic,Hybrid,53819.02
2012,60992,3.0,137,5,2,Manual,Hybrid,43870.88
2019,226088,5.0,154,5,5,Automatic,Petrol,30505.27
2008,29733,2.6,27,4,4,Automatic,Diesel,26324.02
2018,221358,4.9,37,2,4,Manual,Electric,46701.94
2009,202188,2.9,95,2,2,Manual,Diesel,13101.91
2020,175409,4.3,135,2,5,Manual,Petrol,32106.17
2018,85711,4.5,103,2,4,Manual,Electric,51631.63
2017,201311,4.7,129,7,5,Automatic,Electric,50086.06
2004,125478,4.2,125,4,4,Automatic,Electric,39798.27
2001,207002,2.2,36,2,4,Automatic,Petrol,4500
2011,98388,1.3,95,7,5,Automatic,Diesel,16313.13
2003,239653,1.1,140,5,2,Automatic,Diesel,5000
2004,112272,4.8,-33,7,5,Automatic,Electric,31900.23
2018,214860,0.8,134,7,2,Automatic,Diesel,27441.7
2020,112158,1.9,25,5,2,Manual,Petrol,21771.76
2020,227141,2.8,73,7,5,Automatic,Diesel,25030.13
2011,99833,0.9,221,4,2,Manual,Diesel,28730.27
2011,72126,1.0,115,4,5,Automatic,Hybrid,31627.64
2017,20255,1.3,64,5,5,Automatic,Petrol,35549.5
2012,114619,1.1,167,5,4,Manual,Petrol,20172.58
2012,169245,4.2,138,5,4,Automatic,Hybrid,30419.88
2015,157266,3.0,61,4,2,Automatic,Electric,41150.18
2013,244752,1.8,156,7,5,Manual,Diesel,24111.38
2019,47539,2.9,161,5,5,Automatic,Petrol,42122.67
2002,112874,4.3,181,5,5,Manual,Petrol,24040.18
2005,44213,2.5,144,5,5,Manual,Hybrid,35885.41
2019,102336,4.4,162,4,4,Manual,Electric,56107.39
2019,21005,3.9,192,2,4,Automatic,Hybrid,58895.77
2016,228561,4.6,213,4,5,Manual,Electric,48076.87
2015,234267,2.4,65,5,5,Manual,Electric,25277.44
2001,8143,4.9,214,2,2,Manual,Diesel,25198.76
2014,104251,3.3,91,7,2,Automatic,Hybrid,34749.74
2003,189373,1.5,157,5,2,Automatic,Hybrid,26475.01
2001,25817,3.5,171,7,4,Manual,Electric,35963.17
2003,93888,1.8,145,2,4,Automatic,Petrol,11817.41
2009,118619,2.4,169,2,4,Manual,Petrol,21057.85
2020,134048,4.9,168,5,4,Manual,Petrol,34945.6
2019,40792,2.9,162,7,5,Manual,Petrol,40834.02
2014,203125,2.5,89,4,2,Manual,Petrol,25472.07
2013,27031,3.6,116,2,2,Manual,Diesel,33030.4
2010,182128,1.1,49,4,2,Manual,Diesel,13814.35
2017,65457,2.3,99,5,2,Automatic,Diesel,32757.45
2006,239886,1.4,141,5,2,Manual,Hybrid,19650.52
2010,1821,4.0,120,7,2,Manual,Petrol,34146.81
2000,91612,1.8,48,2,2,Manual,Hybrid,19480.14
2008,41327,5.0,138,5,4,Automatic,Electric,49387.73
2001,71183,4.4,81,7,5,Automatic,Petrol,18666.48
2007,237558,3.6,143,2,2,Manual,Petrol,18381.44
2017,10459,2.7,207,4,5,Manual,Petrol,39373.56
2003,249242,4.3,198,7,2,Manual,Electric,31319.3
2004,208460,2.6,166,7,5,Automatic,Hybrid,30914.6
2001,92618,0.9,145,5,5,Manual,Electric,42745.98
2010,202939,1.1,206,5,5,Automatic,Hybrid,35623.24
2012,232740,2.7,71,4,4,Automatic,Petrol,14236.18
2005,145391,1.6,152,4,2,Automatic,Hybrid,26940.05
2000,4159,1.9,89,7,2,Manual,Electric,33075.25
2002,130369,1.4,71,4,5,Manual,Hybrid,25098.4
2008,76190,1.8,136,5,5,Automatic,Hybrid,33987.66
2015,92580,3.2,95,7,4,Automatic,Diesel,37984.59
2002,14917,2.6,5,2,4,Manual,Diesel,15432.09
2008,196155,4.4,248,5,4,Automatic,Hybrid,35355.7
2005,175132,0.9,121,5,2,Manual,Diesel,12882.61
2004,121676,3.9,85,5,4,Automatic,Hybrid,19936.64
2009,44472,2.6,173,5,2,Automatic,Diesel,20585.9
2011,72232,3.4,41,5,4,Manual,Hybrid,32761.28
2005,192522,3.3,32,5,5,Automatic,Electric,28711.99
2010,93171,0.8,215,2,4,Manual,Electric,38156.51
2011,122936,2.0,88,7,5,Manual,Diesel,23757.75
2015,191955,3.0,48,4,4,Manual,Electric,29823.89
2016,78499,2.7,61,2,4,Automatic,Diesel,26389.58
2020,79194,3.4,76,5,5,Manual,Diesel,30493.27
2013,225794,1.8,189,7,5,Manual,Hybrid,27205.85
2011,134366,4.2,102,2,4,Manual,Hybrid,31948.43
2018,124604,2.3,47,4,5,Manual,Diesel,25207.7
2008,132267,5.0,36,4,5,Manual,Petrol,18828.03
2017,236673,1.6,98,4,5,Manual,Hybrid,24395.53
2000,38067,4.0,51,2,4,Manual,Hybrid,26807.07
2014,69712,1.8,182,5,5,Automatic,Diesel,30888.28
2009,37451,4.2,27,2,4,Automatic,Diesel,22118.93
2003,14769,4.3,159,2,5,Manual,Petrol,31230.95
2004,95835,2.9,157,7,2,Manual,Petrol,16324.16
2000,33561,1.2,136,4,4,Manual,Electric,24227.79
2014,153183,2.9,44,4,2,Manual,Diesel,15838.36
2011,39402,2.2,162,2,5,Manual,Hybrid,40510.4
2009,148899,2.1,131,7,5,Manual,Electric,39644.84
2018,166877,1.1,86,2,4,Automatic,Electric,35483.77
2006,49292,2.6,32,2,5,Manual,Electric,33217.58
2014,101176,3.1,177,5,5,Automatic,Diesel,24064.64
2013,59440,2.2,171,5,4,Manual,Hybrid,31218.16
2008,206896,1.3,29,5,4,Manual,Petrol,3770.35
2010,88052,2.1,99,2,5,Automatic,Petrol,24201.74
2008,171095,1.4,109,4,4,Automatic,Electric,37396.79
2017,86295,3.7,152,4,2,Manual,Petrol,35280.54
2015,193988,3.3,132,7,4,Manual,Diesel,28432.55
2015,230014,3.8,130,5,5,Manual,Diesel,17900.95
2012,131918,3.6,104,2,4,Manual,Hybrid,31999.98
2000,35286,1.3,26,5,5,Manual,Diesel,14814.62
2016,72413,1.6,211,2,2,Automatic,Petrol,44520.11
2008,225951,1.2,147,7,2,Automatic,Hybrid,23325.21
2002,50671,2.6,94,5,5,Automatic,Hybrid,38871.35
2019,180124,1.1,228,5,4,Automatic,Electric,43208.43
2013,49214,2.4,60,2,5,Manual,Petrol,23249.41
2001,189698,1.9,201,5,2,Manual,Electric,25023.06
2018,199187,0.9,109,4,2,Automatic,Diesel,30364.42
2015,46268,1.2,181,7,5,Manual,Electric,45222.05
2012,90196,0.8,176,4,2,Automatic,Hybrid,34935.03
2007,115009,2.6,81,7,2,Manual,Petrol,23407.8
2006,2409,1.4,92,4,2,Manual,Petrol,26257.24
2002,10196,2.3,80,7,2,Manual,Diesel,9953.28
2003,147276,3.7,78,5,2,Manual,Diesel,10045.76
2020,161399,1.2,162,2,2,Automatic,Diesel,29983.87
2007,130290,2.0,214,2,4,Manual,Diesel,31986.82
2009,220608,2.0,212,2,5,Manual,Diesel,23816.3
2020,197240,3.9,132,5,4,Automatic,Diesel,40080.7
2006,87597,3.4,156,4,4,Manual,Diesel,25555.54
2016,225311,0.9,110,5,4,Manual,Diesel,19733.09
2000,207778,2.2,63,5,2,Automatic,Hybrid,18039.86
2007,112875,2.4,1,5,4,Automatic,Diesel,8671.26
2012,208840,4.3,54,5,5,Automatic,Electric,27857.9
2012,85503,3.5,134,7,2,Manual,Diesel,21805.75
2005,124110,4.7,85,4,5,Manual,Diesel,21981.38
2006,38994,4.1,53,2,4,Automatic,Electric,34976.93
2003,73166,1.8,146,7,5,Automatic,Electric,39498.6
2018,33765,3.6,97,4,5,Manual,Petrol,27382.04
2002,11189,4.7,173,7,5,Automatic,Electric,44012.54
2007,190356,1.8,95,4,4,Automatic,Petrol,10626.32
2014,72991,1.1,254,2,5,Automatic,Hybrid,50700.44
2014,123464,4.6,195,5,5,Automatic,Diesel,34490.11
2008,144540,2.7,174,2,4,Automatic,Petrol,31940.78
2015,5897,1.9,195,5,5,Manual,Electric,43977.23
2001,51503,2.8,94,5,5,Manual,Electric,32064.53
2004,32752,3.9,91,7,4,Manual,Hybrid,32983.13
2006,170139,1.2,173,2,4,Automatic,Electric,38388.37
2012,7097,4.3,142,7,5,Automatic,Hybrid,50661.17
2019,113444,1.3,100,4,2,Automatic,Petrol,29684.72
2019,115745,3.0,120,4,2,Automatic,Petrol,43037.83
2004,32271,1.7,181,7,5,Automatic,Electric,36444.48
2017,167437,3.3,100,4,5,Automatic,Electric,40868.33
2016,159946,1.8,100,2,2,Automatic,Diesel,26002.61
2014,119969,3.3,170,5,4,Automatic,Hybrid,34203.0
2012,34095,4.7,122,7,5,Manual,Electric,44138.08
2000,101071,2.9,163,7,4,Automatic,Hybrid,32475.26
2019,87877,2.4,119,7,5,Manual,Diesel,34998.61
2013,110373,1.0,180,4,2,Automatic,Diesel,32029.46
2006,231679,4.5,182,2,5,Manual,Electric,33322.74
2010,78800,5.0,168,2,2,Manual,Diesel,32583.0
2017,28092,2.5,216,4,5,Automatic,Diesel,43106.5
2016,52079,2.1,177,7,4,Manual,Petrol,27739.98
2018,58811,1.4,133,7,4,Manual,Hybrid,35856.26
2017,214764,2.8,87,7,5,Automatic,Hybrid,27344.15
2003,247812,2.7,198,2,4,Automatic,Hybrid,31904.23
2012,58113,4.7,223,5,5,Automatic,Diesel,36350.04
2014,96710,4.1,175,5,5,Manual,Hybrid,41673.55
2003,200840,1.1,33,7,5,Manual,Electric,20828.25
2019,206914,2.1,48,4,4,Automatic,Electric,43873.48
2019,134445,1.1,143,2,2,Automatic,Electric,50779.78
2005,198001,4.1,105,7,2,Automatic,Hybrid,18567.03
2015,110951,2.9,136,2,4,Manual,Electric,40592.89
2016,95323,1.0,133,5,4,Automatic,Electric,44009.99
2009,13887,4.3,38,4,4,Automatic,Diesel,25915.7
2001,140629,3.0,151,2,4,Manual,Diesel,21427.44
2011,169314,3.0,210,4,5,Manual,Hybrid,39728.04
2008,176641,1.7,100,2,4,Automatic,Hybrid,35936.81
2008,188318,3.7,87,7,2,Automatic,Hybrid,23978.62
2004,154314,3.6,154,4,2,Automatic,Petrol,22392.07
2018,228947,2.5,175,2,5,Automatic,Hybrid,36991.48
2017,134926,1.4,10,2,5,Automatic,Diesel,23923.17
2009,127812,1.4,120,4,4,Automatic,Hybrid,35499.35
2008,51198,1.0,140,7,4,Automatic,Hybrid,31657.45
2010,82159,3.7,138,2,4,Automatic,Electric,47328.97
2007,5968,3.9,160,5,2,Automatic,Petrol,34388.41
2000,221179,2.5,-4,2,4,Manual,Electric,18000
2007,32434,2.7,30,4,2,Manual,Diesel,8094.47
2009,243664,0.8,90,4,2,Automatic,Electric,26354.73
2014,53830,2.5,112,4,5,Manual,Hybrid,38999.93
2017,15712,1.4,135,5,2,Automatic,Electric,43767.11
2020,19364,3.1,160,4,2,Automatic,Petrol,32661.26
2012,207837,4.3,138,2,4,Manual,Petrol,27396.22
2013,223608,4.5,168,4,2,Automatic,Hybrid,32213.83
2013,224630,4.3,167,7,2,Manual,Hybrid,31375.48
2015,201980,0.8,179,7,5,Automatic,Hybrid,27354.0
2002,141326,1.2,191,5,4,Automatic,Diesel,16555.76
2017,158189,3.4,129,7,2,Manual,Petrol,41585.45
2005,48238,3.0,30,5,2,Automatic,Diesel,20737.44
2005,87805,2.7,52,2,5,Automatic,Diesel,17644.75
2014,183421,2.9,81,2,4,Manual,Hybrid,46633.4
2014,10891,4.3,100,5,4,Automatic,Electric,64840.46
2013,175186,2.8,75,4,5,Manual,Petrol,24256.99
2005,47533,3.9,164,2,2,Manual,Hybrid,33785.52
2012,173581,2.5,90,7,5,Manual,Diesel,23182.4
2008,141036,3.6,4,7,2,Manual,Electric,32179.81
2011,109979,1.4,93,4,2,Manual,Electric,40358.41
2020,141679,3.0,163,5,5,Automatic,Diesel,35378.04
2000,233582,4.5,98,4,5,Manual,Electric,20242.89
2004,236036,4.6,147,5,5,Automatic,Diesel,14354.7
2012,164480,3.2,141,4,5,Automatic,Petrol,19863.05
2017,157766,2.6,91,5,5,Automatic,Diesel,24770.86
2019,216734,4.4,108,4,2,Automatic,Petrol,23385.16
2003,21209,4.7,96,7,5,Automatic,Petrol,23034.89
2007,39270,2.1,31,4,4,Automatic,Diesel,22068.67
2008,94667,3.7,120,5,4,Automatic,Diesel,27356.25
2019,99640,4.2,82,7,5,Automatic,Electric,56512.07
2019,70614,3.2,155,7,2,Manual,Diesel,33084.51
2016,125916,0.9,114,7,2,Manual,Petrol,16111.66
2003,57009,4.5,61,4,2,Manual,Electric,36410.63
2015,242645,3.4,168,7,2,Automatic,Hybrid,27744.94
2012,13600,1.0,78,2,4,Automatic,Hybrid,41366.78
2013,227835,3.0,52,4,2,Manual,Diesel,15392.05
2017,186145,2.1,131,2,4,Manual,Diesel,26689.6
2009,122797,2.4,89,2,4,Manual,Electric,32086.13
2007,194134,2.5,119,2,5,Manual,Hybrid,19000.13
2011,101289,4.5,124,4,5,Automatic,Hybrid,45949.91
2011,83319,2.4,162,4,4,Manual,Electric,49875.66
2007,185504,3.4,204,4,2,Manual,Petrol,27179.34
2007,67989,4.2,82,2,4,Manual,Electric,38233.26
2010,42406,4.4,231,7,2,Manual,Electric,42389.4
2016,18732,1.6,49,2,2,Manual,Diesel,18817.98
2014,159808,3.1,98,4,4,Manual,Hybrid,36938.59
2016,101783,2.3,160,4,5,Manual,Hybrid,37564.33
2010,210065,2.2,152,4,2,Automatic,Petrol,13817.77
2018,142470,2.2,157,5,2,Automatic,Electric,55660.71
2009,137919,1.4,155,5,2,Manual,Hybrid,25142.99
2001,24013,4.9,152,4,5,Manual,Diesel,28139.45
2020,131437,4.8,150,4,5,Manual,Petrol,27030.78
2015,217388,2.1,177,4,2,Manual,Hybrid,39966.29
2017,14831,2.6,108,4,4,Manual,Diesel,36834.69
2013,200898,3.8,155,5,5,Manual,Petrol,17553.8
2007,137800,1.5,210,2,4,Manual,Electric,41461.92
2009,214655,1.2,69,5,5,Manual,Diesel,12632.15
2002,11547,4.7,83,2,2,Automatic,Hybrid,37118.81
2020,190100,4.8,53,2,4,Automatic,Diesel,25625.46
2009,217154,2.4,66,5,4,Automatic,Electric,33884.83
2005,160046,2.0,161,5,5,Manual,Diesel,13507.83
2009,180679,1.3,184,4,5,Automatic,Petrol,18116.65
2008,92623,2.1,142,7,2,Automatic,Hybrid,14452.97
2014,145979,4.0,181,7,4,Manual,Petrol,31528.69
2010,236640,2.6,134,2,2,Automatic,Hybrid,20913.45
2011,94453,4.3,147,7,5,Manual,Electric,36585.73
2010,14991,1.6,107,4,2,Manual,Petrol,27320.05
2004,68118,1.4,1,2,4,Manual,Petrol,8482.65
2010,57114,3.6,126,4,4,Automatic,Hybrid,42193.44
2010,27617,1.6,159,2,4,Automatic,Hybrid,42162.21
2001,94735,2.8,80,4,5,Automatic,Hybrid,25712.16
2018,185037,3.2,231,4,5,Manual,Diesel,18201.47
2005,136788,4.5,8,2,5,Automatic,Diesel,15787.76
2009,93037,5.0,35,7,5,Automatic,Petrol,13315.13
2017,80337,2.8,180,4,2,Automatic,Hybrid,47346.26
2001,219880,3.9,46,5,4,Manual,Electric,25310.88
2014,169292,4.6,125,4,5,Automatic,Electric,42729.86
2013,2022,4.0,55,2,4,Automatic,Diesel,23793.38
2000,85034,1.8,39,5,2,Manual,Diesel,10707.8
2008,125472,1.2,198,2,2,Manual,Electric,31795.43
2016,26118,4.7,133,7,4,Automatic,Electric,54274.52
2018,64579,4.8,194,2,4,Automatic,Petrol,38724.37
2002,102193,3.3,70,5,5,Manual,Electric,31031.54
2000,163647,1.2,184,7,4,Automatic,Hybrid,27828.43
2007,58613,2.9,173,7,5,Manual,Diesel,24589.14
2020,136543,2.2,115,7,5,Manual,Petrol,26183.99
2009,61312,1.7,232,4,2,Automatic,Diesel,32733.42
2006,152281,3.4,142,7,2,Manual,Diesel,24156.31
2011,159333,2.6,130,4,2,Automatic,Electric,40247.27
2005,53328,3.2,132,5,5,Automatic,Diesel,28293.32
2008,166713,4.7,117,2,2,Automatic,Petrol,20595.63
2004,209349,2.9,58,2,2,Manual,Petrol,6928.94
2017,69490,4.2,61,4,4,Manual,Petrol,35203.01
2004,193482,1.0,210,4,4,Manual,Petrol,15389.19
2003,146054,3.6,81,4,4,Automatic,Hybrid,27808.73
2009,209186,4.5,198,7,5,Manual,Petrol,29876.81
2011,74342,2.1,71,5,2,Automatic,Electric,40080.23
2009,167679,1.8,126,7,2,Automatic,Petrol,11245.2
2003,209284,1.2,160,4,4,Automatic,Hybrid,19029.43
2014,246479,1.4,117,7,5,Manual,Electric,29867.21
2015,181133,4.9,152,2,5,Automatic,Hybrid,37637.29
2014,212661,4.2,85,4,4,Manual,Diesel,24097.65
2010,171611,2.9,126,2,5,Automatic,Electric,33465.42
2014,90397,4.3,193,7,5,Automatic,Diesel,34975.02
2018,162473,3.3,115,5,2,Manual,Petrol,27640.27
2013,40253,2.0,46,7,4,Manual,Petrol,24473.45
2013,27429,3.7,176,5,2,Manual,Electric,52596.33
2018,97456,3.0,133,5,4,Manual,Hybrid,40892.28
2004,185903,3.3,216,4,2,Automatic,Hybrid,26227.31
2009,74561,3.2,-26,7,5,Manual,Electric,39839.9
2017,205555,1.7,210,5,5,Manual,Electric,42011.5
2011,115691,3.7,94,4,5,Automatic,Diesel,24949.96
2006,89231,3.9,220,4,5,Automatic,Hybrid,37605.52
2017,247375,3.1,139,7,4,Automatic,Electric,34129.25
2001,165938,3.5,19,2,5,Manual,Diesel,14346.51
2009,241421,2.0,210,4,4,Manual,Petrol,16116.88
2004,214293,2.1,53,7,5,Manual,Hybrid,17667.31
2004,213318,1.6,54,4,5,Automatic,Electric,30023.25
2008,217435,1.5,-68,2,4,Automatic,Electric,20000
2009,153208,4.0,111,4,4,Manual,Petrol,25335.57
2014,43923,2.2,150,7,5,Automatic,Diesel,35743.43
2014,50671,4.5,69,2,4,Automatic,Petrol,32366.25
2004,137411,2.4,127,2,2,Manual,Petrol,26081.36
2017,40041,3.1,173,2,5,Automatic,Diesel,37402.8
2015,42219,4.6,166,7,4,Manual,Electric,45300.99
2015,120817,3.8,179,5,5,Manual,Diesel,26802.1
2001,161306,3.6,227,5,2,Automatic,Electric,37879.43
2015,6097,2.0,65,5,4,Automatic,Petrol,17312.98
2019,219360,2.6,176,2,2,Automatic,Hybrid,40559.31
2000,117762,3.1,121,4,4,Manual,Hybrid,23504.12
2010,23910,2.5,118,5,2,Manual,Hybrid,34265.75
2019,125179,2.0,176,5,5,Manual,Hybrid,42264.61
2002,22232,4.5,104,5,5,Automatic,Electric,41580.97
2008,4360,1.2,184,5,5,Automatic,Hybrid,30140.81
2009,137553,4.5,135,7,4,Manual,Petrol,26366.95
2019,87766,3.5,29,5,2,Manual,Diesel,25927.04
2014,183826,4.7,23,4,2,Manual,Diesel,27779.06
2004,218295,3.0,70,5,2,Manual,Petrol,12325.97
2014,3520,3.9,219,2,4,Manual,Petrol,43775.8
2002,173036,1.5,157,7,5,Automatic,Petrol,12731.88
2001,116475,3.0,51,5,4,Automatic,Petrol,15603.91
2004,183916,4.8,13,2,5,Manual,Electric,24341.91
2017,80449,2.7,40,5,2,Automatic,Diesel,31421.19
2000,33354,4.8,110,4,4,Manual,Diesel,22350.52
2008,3428,1.4,215,7,5,Automatic,Hybrid,31696.85
2001,15909,4.2,36,2,4,Automatic,Electric,43454.16
2004,61390,3.1,136,5,2,Manual,Hybrid,23425.89
2009,118506,2.5,67,2,4,Manual,Electric,29313.73
2008,52017,1.7,122,5,4,Automatic,Petrol,23591.13
2008,127525,1.0,160,7,5,Automatic,Petrol,25116.96
2010,9184,2.4,87,7,2,Manual,Hybrid,30990.89
2019,215710,4.8,143,4,5,Automatic,Electric,41011.98
2017,202308,4.4,159,4,2,Manual,Petrol,30066.05
2018,161200,3.7,75,7,5,Automatic,Hybrid,40353.71
2003,118586,4.5,96,5,4,Automatic,Electric,35975.5
2009,120354,4.5,142,7,2,Automatic,Petrol,24850.78
2014,39164,3.5,175,4,4,Manual,Hybrid,47447.56
2010,113628,4.6,165,7,2,Manual,Hybrid,32497.11
2015,60015,3.7,101,7,2,Automatic,Diesel,27417.72
2015,83861,2.3,114,2,4,Automatic,Diesel,32078.24
2007,45673,5.0,246,5,5,Automatic,Electric,43115.04
2013,181784,3.2,68,4,4,Manual,Hybrid,28734.58
2000,110922,3.2,198,2,2,Manual,Petrol,22586.51
2014,248637,1.9,222,4,4,Manual,Electric,41839.73
2013,187943,1.3,142,4,5,Manual,Diesel,25014.89
2016,170511,1.4,174,2,2,Automatic,Electric,35620.95
2018,95080,2.1,156,2,4,Manual,Hybrid,43211.04
2017,146153,3.3,47,4,5,Automatic,Petrol,29174.71
2006,172986,5.0,98,5,4,Automatic,Hybrid,32892.75
2018,245033,4.7,30,5,2,Automatic,Hybrid,31058.26
2012,118945,0.9,220,5,5,Automatic,Diesel,23490.33
2016,223850,4.9,107,5,4,Manual,Electric,43104.1
2000,91835,1.6,175,5,5,Automatic,Diesel,13286.6
2016,164443,1.4,48,2,2,Manual,Hybrid,31010.35
2005,22435,4.9,169,4,2,Manual,Electric,43030.96
2011,50202,1.9,176,2,2,Automatic,Hybrid,41481.66
2004,193732,3.5,181,5,5,Automatic,Petrol,20435.92
2012,108274,2.7,117,4,2,Automatic,Diesel,21197.78
2019,135022,2.8,37,2,2,Automatic,Petrol,31792.93
2010,136565,2.7,112,5,2,Automatic,Hybrid,27031.65
2013,215333,3.7,89,2,5,Manual,Diesel,21833.59
2011,216701,3.5,123,4,4,Automatic,Electric,30693.69
2017,71619,1.9,99,4,4,Manual,Petrol,30388.24
2016,131520,2.8,92,4,4,Automatic,Hybrid,34418.29
2008,46672,2.9,112,7,4,Automatic,Petrol,31085.43
2015,60381,2.2,146,5,2,Manual,Diesel,33943.12
2012,249099,4.5,230,2,4,Automatic,Petrol,37289.94
2014,234137,3.9,141,7,5,Automatic,Electric,42402.08
2017,13799,4.0,252,2,2,Automatic,Petrol,41414.3
2013,198620,2.2,88,7,5,Manual,Hybrid,30990.59
2020,13528,1.6,152,2,4,Automatic,Petrol,42380.85
2014,121029,3.9,-10,7,4,Manual,Diesel,21252.55
2018,199114,3.6,142,7,5,Automatic,Electric,39107.42
2008,118451,3.3,26,4,4,Manual,Electric,33414.05
2005,124732,4.0,3,2,5,Manual,Diesel,16579.17
2003,45914,3.3,150,7,5,Automatic,Diesel,23933.18
2001,27842,2.9,82,4,4,Automatic,Hybrid,30411.02
2002,1695,2.4,150,4,4,Automatic,Electric,42587.66
2008,29646,2.3,179,7,5,Manual,Electric,43245.04
2004,90074,3.7,143,4,2,Manual,Hybrid,23359.42
2018,26574,4.5,127,4,2,Manual,Electric,52818.9
2003,143242,3.4,101,2,4,Manual,Electric,31374.46
2017,109229,4.0,137,7,2,Automatic,Hybrid,44427.86
2007,23297,1.5,155,2,4,Manual,Diesel,21837.25
2012,168725,1.2,240,2,5,Automatic,Diesel,28502.23
2009,90224,1.2,53,2,2,Manual,Diesel,22344.44
2003,206772,1.3,193,7,2,Automatic,Petrol,9134.06
2002,104595,4.7,78,2,2,Automatic,Electric,36186.18
2019,159859,2.9,84,7,2,Automatic,Petrol,26648.17
2010,34210,1.7,243,7,2,Automatic,Diesel,39323.52
2006,216661,2.2,120,4,5,Manual,Hybrid,15234.3
2018,99082,4.3,110,7,4,Manual,Diesel,32677.96
2006,77569,2.1,221,7,5,Automatic,Petrol,29617.09
2015,77023,1.3,114,4,2,Automatic,Electric,43818.44
2018,129564,4.5,174,2,2,Manual,Hybrid,39505.76
2006,58837,1.2,208,5,4,Automatic,Petrol,20340.18
2013,175863,3.3,152,4,2,Automatic,Electric,40286.39
