SO2,NO2,O3,Temperature,Humidity,Pressure,WindSpeed,PM2_5
9.08,38.04,30.53,29.4,63.6,1024.1,2.48,42.8
51.97,84.41,58.17,30.1,75.1,1009.1,1.03,67.2
8.43,33.13,27.66,14.9,50.4,1018.5,2.55,22.1
46.42,43.22,54.04,10.7,80.5,1011.0,2.85,49.2
32.17,63.95,14.87,23.7,50.6,1016.0,3.75,48.5
57.67,57.14,2.42,6.9,74.4,1002.4,4.47,63.3
23.99,21.0,51.3,24.6,67.5,987.1,5.31,34.7
59.18,55.17,67.61,21.5,64.6,1003.7,1.9,88.1
34.11,46.88,48.14,22.5,37.7,1011.7,0.46,50.1
36.35,30.05,39.38,22.2,51.0,990.3,11.23,18.4
-4.26,90.33,15.05,28.2,68.1,1005.8,8.03,15.8
44.17,10.2,77.51,20.5,45.3,1018.4,3.76,39.4
-6.62,56.99,60.82,0.9,40.2,996.6,6.43,14.4
37.29,60.63,52.27,18.5,47.4,1015.8,3.1,76.3
37.72,4.24,60.45,7.8,69.3,1028.9,2.34,39.5
45.77,43.11,65.31,23.9,73.6,1017.0,1.42,67.9
25.43,52.86,33.12,7.0,74.7,1026.1,0.81,58.4
63.44,9.16,69.46,8.6,31.6,1008.5,1.93,47.5
46.6,30.73,29.26,25.5,79.7,1015.8,10.29,19.5
71.14,51.91,44.38,2.2,63.5,1010.7,15.95,17.9
62.28,57.16,-18.14,12.2,84.8,1020.7,0.59,57.2
23.07,106.33,54.05,13.8,63.2,1012.9,3.15,46.0
42.37,20.93,51.5,14.6,65.9,1006.2,1.36,63.7
53.1,34.09,32.27,9.5,58.8,1001.7,9.24,30.1
34.48,56.87,37.02,18.7,47.0,1003.2,4.07,44.7
77.63,42.93,59.32,19.1,64.7,1014.6,3.27,62.5
11.29,58.78,54.62,22.2,42.9,1011.8,11.8,22.7
59.04,90.56,22.38,13.9,95.2,1015.0,1.14,64.8
26.61,66.13,70.38,2.3,46.3,1006.9,24.03,10
15.45,43.59,65.79,17.1,82.3,1022.7,0.56,56.7
-8.4,79.46,34.82,4.0,31.6,996.8,5.11,12.2
44.74,87.59,31.97,19.6,40.3,1008.0,10.23,48.4
34.32,29.01,79.66,23.3,43.7,1005.7,9.83,33.2
30.29,44.65,44.0,20.7,73.5,1021.3,0.4,48.3
33.97,71.69,29.05,2.8,29.4,1023.5,1.46,65.0
63.47,29.25,27.9,33.9,102.3,1007.8,7.12,37.2
45.59,39.67,22.66,10.1,25.8,992.1,5.25,18.3
47.44,37.43,55.99,15.4,66.6,1008.6,1.94,36.3
20.74,98.81,57.28,35.3,61.2,1017.7,5.87,48.1
51.73,62.8,36.13,18.3,80.4,1031.1,4.1,46.6
56.78,14.75,46.39,28.5,82.5,990.9,6.64,31.4
17.95,18.41,42.89,13.3,52.5,1022.0,24.71,10
39.8,16.93,18.09,8.2,90.3,1025.3,16.99,10
26.49,40.34,70.19,17.0,66.2,1002.8,6.01,25.0
52.59,93.34,84.76,25.6,70.7,989.8,12.54,47.4
35.74,3.21,39.04,39.0,75.3,1021.6,1.92,26.6
32.75,63.22,29.5,19.7,50.3,1016.4,12.21,11.0
32.82,9.37,20.16,16.7,73.0,1007.1,6.9,10
33.62,84.64,50.94,0.8,68.5,1010.8,0.57,80.7
73.08,63.41,44.4,8.8,84.5,1013.2,10.14,57.2
52.58,51.22,76.32,16.9,82.0,1009.9,6.91,55.7
43.69,36.72,45.16,-14.1,72.0,1016.1,1.34,60.1
33.75,43.96,25.52,16.6,43.0,1010.7,3.99,36.0
45.56,6.75,63.37,24.2,44.4,1012.9,1.15,41.8
36.74,33.15,42.79,-2.7,79.3,1015.6,7.03,36.6
50.96,54.14,75.46,18.4,72.2,1011.6,6.65,47.7
46.15,23.42,47.66,21.6,60.3,1008.6,1.46,42.9
34.56,29.6,40.15,19.9,65.1,1013.5,11.89,15.1
35.66,41.77,36.76,8.3,27.1,1006.2,2.73,39.2
11.26,74.91,21.45,10.2,81.2,1022.1,7.05,33.1
11.95,51.7,39.4,19.0,87.4,996.5,4.82,29.6
32.14,42.7,46.3,13.0,2.8,1002.4,7.34,25.2
43.69,91.32,43.82,7.1,90.9,1016.5,7.03,58.8
74.26,76.96,52.53,35.2,16.2,1013.3,3.12,93.5
40.02,24.29,48.53,18.9,61.7,1008.8,0.44,42.9
33.39,50.5,41.93,30.6,85.7,1009.0,5.74,64.0
30.63,-13.58,52.42,1.8,99.5,1008.9,1.42,27.3
55.46,79.67,62.34,43.5,66.3,1007.5,0.66,69.3
46.25,38.51,55.96,-11.8,48.7,1013.7,3.77,58.9
68.75,71.92,25.74,11.5,54.5,997.7,13.51,27.7
40.28,-12.02,60.08,30.1,68.2,1006.3,7.8,12.7
3.04,47.77,6.74,7.3,73.4,1008.4,0.27,27.3
42.25,27.76,-11.68,20.6,54.2,1012.2,10.86,14.7
47.33,72.19,37.12,27.0,75.7,1011.8,15.2,42.8
32.03,45.19,89.55,2.2,111.0,1007.3,0.84,71.1
48.41,55.34,41.01,27.7,71.2,1011.5,0.62,62.8
13.26,57.95,61.71,6.2,31.0,1026.6,0.54,41.3
70.92,40.02,57.84,18.7,41.4,1014.9,16.74,41.0
42.76,25.46,48.62,34.4,68.7,1012.2,1.01,53.1
14.28,70.22,79.67,15.5,48.9,1010.2,0.74,54.1
76.21,9.96,54.25,3.4,52.6,1014.4,4.06,37.2
43.67,48.71,28.36,23.8,51.6,1008.1,11.21,35.9
21.92,34.93,18.61,14.3,65.6,1022.1,9.33,21.6
55.94,63.45,72.91,13.9,57.5,1015.6,1.09,89.9
46.41,40.02,38.24,23.4,28.1,1014.6,2.15,53.7
28.08,22.0,37.96,41.8,45.2,1010.9,2.5,29.4
59.82,58.47,52.12,27.0,59.3,1015.3,4.27,55.7
53.9,57.47,64.35,20.0,101.2,1022.0,1.89,69.4
49.13,47.86,-3.49,15.2,69.6,1015.8,3.03,35.7
60.72,19.04,64.73,16.3,65.5,999.5,9.1,26.5
20.57,70.61,97.99,23.7,44.8,1012.9,2.47,64.7
24.01,73.88,49.72,4.4,51.0,1022.7,3.38,52.5
52.01,34.17,63.66,19.3,34.1,1001.7,3.84,56.9
53.52,72.52,22.6,0.0,73.1,1031.3,0.41,80.9
16.38,47.81,22.53,14.1,80.3,1005.4,7.14,26.2
24.83,42.25,61.16,13.9,82.8,997.7,0.73,62.4
54.7,28.69,52.77,23.6,69.5,1005.0,12.82,18.5
73.98,60.37,55.17,29.6,41.4,1007.2,2.56,71.4
38.42,44.32,58.95,13.0,52.4,1012.8,4.26,48.4
11.6,49.38,26.57,12.0,76.1,1023.5,5.69,28.5
46.6,40.11,-3.01,11.6,16.4,1003.6,1.08,37.8
62.37,76.25,54.65,4.1,49.3,1005.7,2.2,77.8
21.93,123.25,26.99,15.7,76.3,1013.1,0.47,67.8
33.89,78.87,61.27,32.1,66.1,1003.7,11.71,46.6
36.84,41.86,52.93,37.6,28.1,1023.4,2.82,44.8
19.57,74.71,59.92,14.9,87.7,1024.7,0.68,67.7
59.49,35.05,57.28,-0.2,50.5,1016.0,1.19,65.6
25.44,31.87,25.72,-3.2,15.8,1002.7,0.87,23.6
11.87,37.15,26.29,21.4,63.7,1033.3,4.68,20.3
28.68,63.5,43.36,-5.8,69.2,1012.5,1.25,54.3
37.83,25.14,68.15,4.2,56.3,1020.5,8.01,41.2
44.48,103.13,69.21,7.4,75.7,1009.5,1.7,85.6
81.9,59.09,70.54,-2.5,51.2,1018.7,6.72,66.6
64.03,70.12,48.53,42.0,45.8,1006.3,1.44,97.0
50.58,55.07,37.88,8.6,61.9,1014.1,2.95,58.4
6.11,23.71,40.43,-0.7,65.4,1014.8,5.18,14.9
30.28,52.51,11.45,7.7,56.5,1005.4,2.38,58.3
55.77,67.47,77.16,8.6,59.8,1026.3,7.75,72.5
43.85,70.14,68.96,31.4,72.8,1009.1,9.26,58.6
45.17,53.36,64.72,22.2,58.3,1004.9,3.02,47.8
35.9,41.21,52.72,16.2,59.4,1014.2,4.84,27.5
54.91,10.46,33.99,4.8,57.6,1019.2,1.99,64.1
23.32,69.87,59.45,31.5,43.0,1011.1,4.68,51.9
54.2,33.03,46.57,0.2,64.1,1015.7,3.24,42.2
50.08,109.36,22.7,5.7,87.9,1018.4,0.97,96.5
28.69,78.45,41.32,23.0,51.4,1005.5,3.67,53.0
29.55,72.68,60.99,18.7,73.4,1009.4,4.12,59.4
29.89,32.61,31.25,14.8,75.4,1018.6,1.21,41.3
30.11,31.24,34.59,28.6,46.7,1002.7,3.98,44.4
50.62,49.11,63.99,26.5,33.1,1005.1,1.85,71.9
50.77,75.78,55.79,17.8,76.5,996.8,3.81,55.0
42.63,67.39,32.13,24.7,51.3,998.6,7.01,32.2
26.32,43.77,54.27,3.8,66.9,1020.4,3.52,31.4
54.11,11.15,32.84,4.4,49.9,1008.5,0.94,54.7
44.94,63.57,48.41,1.2,51.2,1006.2,2.66,59.4
59.49,42.98,51.88,-2.8,48.9,1006.2,11.31,31.6
45.85,82.84,70.77,-8.0,48.7,1027.1,9.68,52.6
32.0,82.66,85.24,18.0,51.1,1023.3,1.84,63.2
72.99,57.69,58.63,22.5,56.9,1020.1,4.16,74.9
15.93,36.22,84.42,16.5,46.5,1002.3,0.73,56.8
25.13,55.22,13.87,13.9,75.9,1016.3,3.2,41.4
74.9,55.39,35.85,23.9,51.5,1000.6,1.43,72.7
83.54,27.33,52.89,18.2,44.6,1005.1,18.12,17.0
50.86,59.46,31.11,-1.2,55.2,1023.9,2.72,64.1
38.05,34.27,73.61,2.7,78.2,1025.6,5.13,52.1
-7.92,68.51,46.93,-8.3,44.7,1032.3,5.4,17.0
19.96,33.86,81.62,27.6,86.5,996.6,0.32,52.1
9.06,79.42,73.59,16.6,27.2,1002.6,1.78,57.6
14.26,99.04,16.17,23.2,72.4,1029.8,1.39,53.3
90.24,51.59,41.72,20.8,51.1,1026.6,4.08,82.8
40.51,19.01,50.7,-2.6,77.1,1023.9,6.98,23.3
47.08,36.98,39.71,-8.1,62.0,1018.8,2.3,54.0
24.78,71.67,53.62,25.2,78.3,1014.6,1.89,58.6
70.69,68.9,43.03,4.7,73.4,1013.9,7.39,68.0
20.04,85.83,33.95,9.9,45.8,1023.5,2.21,32.8
33.52,50.02,31.69,3.7,90.1,1020.4,1.62,51.9
15.78,58.42,38.46,32.3,58.2,1022.6,0.19,39.5
53.85,83.04,73.06,33.8,91.2,1009.5,14.34,57.9
86.14,60.44,29.65,40.1,39.9,999.7,3.43,77.2
78.98,60.7,53.6,3.6,81.1,1007.4,3.17,59.5
41.6,58.97,55.58,19.1,36.7,1001.3,0.11,70.7
41.86,49.69,47.09,25.0,40.4,1000.3,4.75,43.1
65.31,40.23,51.87,38.3,46.7,1028.3,6.57,52.7
79.27,23.65,74.55,13.4,44.7,1021.4,1.86,66.5
56.71,84.56,65.04,20.1,93.5,1010.5,1.89,87.8
-0.52,21.77,54.04,35.3,33.8,1012.3,1.44,17.9
35.68,39.51,50.18,24.6,60.4,1014.4,22.44,10
38.32,53.77,58.1,28.1,66.8,1031.3,2.24,61.8
50.97,54.28,49.51,17.3,93.7,1021.8,0.43,74.7
51.27,61.88,64.02,9.0,50.8,1007.2,0.05,56.6
62.43,43.11,64.31,14.0,41.7,1018.3,11.53,22.5
31.96,48.58,85.74,11.8,55.9,1012.7,0.99,64.4
76.37,45.7,38.91,11.9,83.0,1008.4,5.9,54.8
19.57,54.86,58.81,13.1,63.7,1001.9,9.96,16.6
25.49,44.04,25.07,10.1,53.6,992.9,6.02,21.4
27.04,72.09,51.18,0.5,28.9,1007.8,4.23,54.9
88.24,67.2,19.83,-8.4,70.3,1017.8,8.73,66.0
58.14,14.79,26.67,-8.0,59.5,1015.9,7.27,28.9
25.33,36.14,56.09,6.5,71.6,1031.1,9.13,10
47.7,55.48,31.19,25.0,72.7,1014.3,5.24,50.0
0.42,43.01,53.19,11.4,79.7,1012.3,5.25,19.4
33.04,90.23,52.8,14.8,65.7,1025.2,0.84,66.0
61.48,63.82,72.13,-2.4,102.0,1000.2,3.03,76.9
71.75,81.97,45.02,4.2,70.9,1005.8,3.43,74.6
36.25,77.37,58.49,24.9,69.7,1014.7,1.57,59.8
69.1,23.48,56.28,28.6,62.2,1015.2,6.67,55.4
69.62,50.78,11.97,17.3,63.8,1002.0,2.68,62.0
53.9,2.82,19.09,19.0,22.9,995.4,1.11,31.4
28.96,76.59,43.92,-7.2,31.3,1025.0,1.69,64.0
33.95,37.16,40.75,3.3,68.1,1019.3,22.0,10
34.97,59.87,42.21,25.8,63.7,1023.0,1.9,57.0
-4.24,69.53,74.09,12.4,62.9,1002.9,1.93,26.0
59.43,63.67,23.43,9.2,63.7,1015.6,3.71,49.8
72.37,-1.14,14.85,16.8,82.0,1002.5,1.66,51.5
35.29,82.79,17.03,28.5,87.4,1010.7,6.51,47.0
21.47,65.13,43.7,13.9,68.5,1014.0,2.62,56.6
48.61,64.27,49.53,4.9,58.2,997.0,2.6,62.0
-2.17,97.85,47.09,33.5,89.8,1020.1,2.21,77.7
35.47,-8.92,31.58,11.2,80.2,1024.2,1.5,19.5
31.51,42.51,42.22,34.6,92.0,1002.4,9.28,46.1
34.84,35.99,47.27,8.5,76.0,1000.4,5.41,56.0
43.08,54.8,38.56,22.9,80.6,1019.4,1.13,54.1
41.64,41.65,38.51,19.8,61.2,1025.2,16.29,19.3
27.45,67.39,46.05,18.1,75.6,1017.7,11.14,19.4
17.5,59.01,48.72,24.4,62.1,1019.0,6.44,47.9
23.49,10.05,67.08,10.5,90.4,1003.0,2.57,30.3
38.72,28.18,33.11,29.2,52.6,1006.9,4.39,31.4
-7.5,26.44,38.18,4.4,42.3,1010.8,7.84,10
36.02,53.79,28.83,-5.2,60.5,1008.8,3.62,67.8
48.0,67.31,86.42,38.0,49.7,1024.8,2.46,67.2
-4.37,28.95,61.67,20.1,55.0,1014.4,9.09,10.8
41.01,46.17,50.83,4.7,68.4,1015.9,3.58,52.9
57.86,40.4,47.2,29.8,67.4,1002.6,1.08,57.4
61.35,85.99,13.97,1.0,79.0,1023.3,0.5,76.6
28.11,25.25,36.56,22.7,69.5,1018.4,0.03,51.8
53.04,32.24,7.46,0.7,64.4,1021.5,1.29,49.3
58.86,59.7,43.83,8.0,82.4,1000.1,2.19,56.2
-11.13,54.14,46.04,31.2,47.6,1008.0,5.23,20.4
33.91,50.95,12.44,22.8,43.7,1012.8,4.76,30.7
36.73,59.46,43.11,-2.9,49.6,1034.4,12.35,23.8
36.69,57.13,72.42,5.7,38.6,1025.4,0.55,68.4
12.99,32.92,41.11,22.6,59.0,1011.0,4.09,17.0
38.89,39.26,50.43,8.5,75.7,1001.0,0.06,51.6
-1.42,16.56,48.8,-3.4,70.3,1021.3,19.15,10
57.06,48.11,8.2,-1.3,107.5,1005.6,7.57,32.7
4.81,60.89,59.03,28.8,103.6,1026.7,7.87,29.8
76.66,24.82,43.33,-7.0,42.2,1024.0,4.06,60.0
19.32,68.48,73.32,29.1,84.3,1021.5,4.31,57.7
41.14,76.01,48.11,9.9,28.1,1006.0,2.69,50.6
34.11,26.82,16.35,12.8,33.3,1024.7,0.87,27.5
14.67,60.36,56.84,2.9,57.2,1029.4,2.35,61.4
50.68,72.63,61.39,-2.3,13.5,1011.5,19.17,27.1
70.26,60.6,54.81,4.5,33.2,1022.7,4.09,58.1
50.29,38.36,67.43,9.7,82.2,1002.3,24.73,10
37.34,4.59,2.9,1.8,54.7,1018.9,15.05,10
120.33,31.16,39.03,-8.2,33.3,992.6,1.93,89.7
46.87,73.08,59.82,26.4,56.5,1004.2,1.96,75.3
62.69,26.3,75.58,13.5,61.7,1014.0,18.65,21.9
38.02,-2.87,40.62,11.3,73.2,1008.9,3.44,30.4
44.55,72.79,28.57,26.4,76.6,1007.8,0.82,62.7
13.59,9.88,68.1,18.3,61.7,1020.9,5.2,29.5
39.18,46.09,32.74,26.0,53.3,1016.3,22.81,10
7.77,43.61,46.26,32.5,81.4,1008.7,1.8,52.0
67.91,42.78,13.45,15.4,62.7,1014.9,9.58,46.9
42.18,31.62,62.64,0.1,79.8,1029.3,8.68,28.6
48.48,70.04,19.5,6.7,85.6,1007.5,1.05,71.0
40.72,85.04,54.61,21.2,56.0,1019.4,11.59,30.4
6.56,98.8,31.13,17.3,40.1,1013.1,2.52,52.8
29.21,-5.32,44.5,29.6,100.8,1019.3,13.47,10
41.72,83.78,60.24,-10.5,51.2,1017.9,2.18,72.6
43.12,57.65,49.72,23.4,57.4,1003.3,0.43,55.5
1.25,47.1,19.18,-0.5,53.7,985.6,0.72,20.4
26.55,85.66,61.19,9.4,70.2,998.0,8.77,43.1
35.28,53.3,37.81,27.7,58.3,1028.0,0.51,57.6
6.84,67.96,47.99,13.7,53.2,1008.7,1.19,34.5
25.59,82.54,42.95,13.6,66.3,1016.0,1.03,63.0
26.16,98.63,47.56,15.2,85.6,1006.5,4.92,47.7
54.52,61.49,31.59,21.1,66.5,1000.5,0.28,63.6
31.77,65.29,16.59,12.9,66.1,1019.3,2.67,55.0
74.14,15.67,14.94,21.2,83.3,1015.5,1.65,41.6
35.56,80.67,23.48,18.4,59.6,999.4,4.93,52.5
50.99,28.83,39.58,-1.7,63.3,1023.3,2.53,62.6
59.83,29.36,63.89,21.3,76.6,1015.5,2.15,69.2
53.53,44.12,61.82,22.0,43.8,1009.1,3.31,56.1
82.54,21.24,6.12,10.4,38.9,1017.5,0.48,70.6
42.72,34.29,32.31,24.4,50.6,1009.2,8.29,43.3
25.16,84.9,34.23,22.8,22.8,1012.0,0.49,42.4
41.0,71.72,60.99,33.5,66.8,1018.2,4.68,68.3
0.54,17.64,66.45,20.5,71.5,1014.5,4.65,10
15.19,33.69,39.75,6.1,55.0,1032.7,9.14,11.1
52.99,101.33,42.8,19.7,18.0,1012.2,0.89,86.6
54.08,44.45,36.92,21.7,33.5,1017.6,4.6,35.7
104.67,65.79,13.11,9.8,58.7,1010.5,3.84,62.4
43.96,16.49,50.35,24.1,76.5,1043.8,2.05,47.2
50.36,14.95,50.83,-14.1,46.0,1029.7,4.69,30.7
73.84,43.23,50.73,14.6,61.3,1018.6,1.62,68.2
3.87,53.36,58.35,-5.2,35.7,1030.0,2.07,38.7
45.94,48.86,66.43,11.8,50.3,1000.6,7.7,29.6
28.67,34.59,27.0,11.0,86.0,1026.5,4.79,23.7
44.69,26.77,28.11,9.1,52.4,1030.4,2.78,40.6
70.05,37.74,52.03,13.9,54.0,1018.5,3.74,62.0
40.51,79.16,1.26,18.1,33.5,1021.7,2.07,41.3
26.41,32.9,45.54,13.1,63.8,1013.5,3.39,50.0
13.54,56.15,8.23,9.3,42.8,1008.2,0.16,39.7
26.42,27.14,-9.42,6.6,99.8,1009.5,10.49,10
47.32,26.44,45.48,1.9,59.0,1017.6,9.82,10
38.99,76.25,41.37,38.4,53.0,1013.1,2.04,55.6
44.09,97.45,68.3,3.7,57.9,1008.3,2.02,77.6
29.79,16.77,22.32,35.3,71.8,1020.6,0.47,45.1
7.65,50.04,36.45,1.3,50.3,1012.3,1.22,39.4
75.66,81.22,39.64,16.0,63.6,1013.5,2.99,94.2
23.39,39.53,27.06,28.3,85.0,1004.8,1.51,48.7
36.86,52.67,51.0,11.0,86.2,1001.5,6.64,50.0
50.4,78.98,9.63,28.4,67.9,1013.6,2.1,60.4
66.3,39.74,55.99,-2.0,63.1,1008.6,0.63,96.0
1.06,-0.02,53.72,6.4,63.4,1012.4,11.12,10
47.5,83.02,28.58,21.2,76.3,1014.8,3.34,72.3
27.76,70.28,46.06,0.8,67.8,1032.7,4.74,57.9
61.11,18.98,105.64,16.4,67.2,1021.8,5.0,68.1
16.18,55.57,43.07,15.0,54.1,1014.3,1.26,46.1
23.61,42.43,68.85,2.3,49.2,1010.5,3.01,65.3
67.72,87.03,34.49,22.6,67.3,1012.2,1.25,101.6
15.81,70.41,35.69,13.2,25.5,1009.1,1.67,36.5
49.61,79.49,57.14,12.1,73.9,1014.3,3.53,77.1
58.65,73.77,91.79,22.1,38.7,1008.2,3.33,83.4
25.97,3.83,31.86,4.0,51.1,1035.3,1.16,20.9
49.84,84.61,79.23,9.8,87.8,1018.3,0.94,76.4
56.38,23.74,22.44,13.7,53.5,1011.1,4.76,50.2
42.32,85.77,48.38,17.1,77.8,1003.0,5.07,55.2
85.24,41.63,63.11,9.1,55.3,1013.1,0.16,99.6
64.87,56.31,49.02,7.9,60.5,1009.4,0.06,70.6
46.67,105.01,76.05,1.6,67.6,1010.0,2.23,65.4
69.42,45.81,56.44,10.5,87.6,1015.3,0.78,87.3
50.55,114.18,41.91,15.6,48.3,1017.7,12.83,54.0
38.81,77.28,-8.26,-4.9,56.9,986.4,5.6,28.6
37.45,64.59,48.35,-0.6,66.9,1022.8,5.01,50.5
22.82,68.7,75.66,8.7,52.9,1022.5,0.95,67.9
30.57,77.12,17.73,25.1,74.7,1008.0,3.85,55.1
22.48,83.34,56.11,12.5,46.7,1010.7,8.91,35.6
39.74,82.11,43.75,21.2,103.0,989.7,2.35,66.8
33.36,101.37,9.7,0.8,28.0,985.4,1.31,56.1
37.26,33.57,53.58,28.6,67.4,1015.3,6.19,45.5
29.42,57.01,41.33,17.2,73.5,1006.9,5.28,49.2
28.57,20.91,30.86,29.1,38.3,1015.2,0.45,31.1
93.72,63.93,82.68,20.6,55.8,1021.2,3.7,114.1
44.29,53.08,44.13,9.2,73.9,1027.3,0.39,66.6
21.0,43.83,65.34,0.8,85.0,1025.5,11.84,19.5
-0.46,45.59,81.54,17.7,58.3,1026.5,0.06,61.6
51.85,82.91,73.64,-0.1,49.6,1017.6,5.41,66.1
41.11,15.69,62.63,15.4,11.1,1015.6,12.59,10
30.15,19.63,74.95,8.3,87.0,1009.0,10.67,25.5
17.75,37.64,54.77,-3.1,45.0,1020.8,2.36,66.5
14.57,-3.8,34.38,7.1,29.8,1006.6,5.29,10
57.02,19.62,56.05,35.5,51.7,1012.5,6.88,38.5
46.45,56.2,53.35,18.9,64.9,1014.0,0.83,63.9
50.0,80.06,23.39,43.0,29.2,991.5,0.81,67.8
62.43,15.31,27.3,14.9,98.2,1005.2,3.09,36.4
7.84,49.73,32.54,45.0,68.8,997.7,1.02,36.0
39.27,61.77,55.52,26.0,66.8,1021.9,15.22,14.5
58.13,48.79,54.11,-4.5,59.3,1009.9,3.68,63.5
25.0,37.53,60.08,8.2,34.3,1016.7,1.51,55.7
43.87,16.17,27.76,22.6,48.8,997.5,1.43,49.1
50.83,71.87,46.42,-0.9,70.1,1010.7,0.03,73.5
44.62,45.22,25.34,20.4,57.4,1036.0,8.15,30.1
58.12,67.27,39.84,11.0,56.0,1015.2,12.46,37.1
13.63,88.09,53.73,15.5,72.2,1022.8,3.28,71.9
50.38,20.69,55.3,-6.3,58.1,1008.2,3.4,53.0
25.6,37.27,55.64,13.4,37.6,1007.3,1.06,49.1
39.74,43.65,22.13,18.2,30.1,1010.5,3.24,45.9
60.42,59.47,41.79,14.5,33.8,1009.6,5.4,28.7
37.97,59.95,67.47,-5.9,39.1,1006.2,15.13,29.1
16.65,43.51,66.43,20.8,18.9,1025.5,4.6,35.9
27.25,57.86,47.18,14.0,46.2,1008.6,18.71,10
20.05,30.22,46.24,25.3,57.5,1010.8,11.28,10
26.99,36.36,27.29,-2.9,53.7,1016.2,8.42,10
30.16,12.19,50.04,7.3,37.3,1019.1,8.15,37.0
77.01,20.03,43.85,8.6,56.0,1007.3,2.72,58.0
5.35,26.26,79.0,-3.5,86.7,1031.4,6.19,35.9
60.34,66.4,18.45,25.1,32.4,1019.0,6.91,51.4
40.24,61.8,30.42,29.7,56.2,1029.6,3.01,40.2
58.83,68.61,42.3,31.7,48.3,1011.7,15.02,43.4
23.24,43.14,29.21,17.6,54.7,1013.8,6.97,20.1
14.0,74.57,54.51,34.2,98.4,1022.4,3.28,59.4
62.31,42.15,49.19,33.0,69.1,1011.9,2.31,79.3
21.65,76.01,22.42,23.8,46.6,1008.2,6.16,35.8
36.72,61.53,59.09,3.0,47.9,1014.0,6.32,48.4
34.63,54.87,66.04,4.3,50.2,1030.3,8.68,35.5
36.33,72.81,26.22,33.1,48.4,1014.2,0.59,41.7
42.87,77.26,16.48,11.4,65.6,1017.1,3.27,54.2
39.22,51.28,79.82,30.9,59.1,1023.0,9.85,42.8
56.4,95.19,2.13,17.1,38.0,1014.9,2.85,58.4
-9.61,61.37,51.73,9.7,81.6,995.3,6.85,23.6
8.48,20.19,51.6,9.9,66.8,1012.0,0.39,42.4
18.91,56.32,77.02,27.2,43.7,1008.9,3.09,58.8
21.83,66.53,25.4,32.3,60.4,1012.9,12.59,10
33.38,68.34,33.9,23.8,76.0,1021.1,0.39,60.9
30.01,80.26,9.58,9.5,85.3,999.1,1.72,44.4
33.21,34.25,45.61,13.5,57.4,1026.5,21.75,10
37.13,9.52,33.77,12.9,37.6,1028.7,0.44,36.9
52.03,11.9,8.04,41.2,53.0,1023.3,3.91,15.9
38.94,66.71,37.86,17.2,98.7,1012.2,1.06,64.0
37.73,72.01,22.23,4.0,51.3,1015.1,6.86,38.9
80.09,40.61,16.93,14.9,74.4,1017.7,2.41,56.5
75.48,103.51,35.18,16.9,73.2,997.7,0.48,106.8
56.85,61.79,21.93,1.0,37.0,1013.3,7.37,30.0
37.29,32.15,49.4,-18.6,86.4,1008.6,2.89,31.6
20.3,42.49,54.42,13.9,74.4,997.0,0.07,75.6
55.58,89.64,29.62,10.0,23.6,1026.9,0.23,72.8
52.44,65.9,61.86,21.8,82.3,1013.7,15.37,10.3
41.93,34.05,33.82,9.1,45.9,1017.1,0.15,44.3
12.8,35.81,71.81,0.8,86.1,1022.4,3.06,34.2
31.38,21.24,40.49,20.0,80.1,1030.5,2.53,44.7
52.72,81.88,32.49,10.1,25.4,1015.0,2.89,72.3
51.62,51.92,53.52,9.8,101.7,998.1,1.28,70.9
70.78,22.64,84.23,13.4,107.6,998.7,0.68,84.7
18.57,38.53,10.96,23.1,64.7,1028.9,12.36,10
68.09,49.33,31.03,4.9,42.8,999.7,0.38,56.4
30.78,78.87,41.27,11.4,32.3,1004.8,2.22,46.0
33.52,90.23,-4.82,3.0,79.9,1008.3,12.47,16.8
36.95,59.1,70.95,13.5,47.2,1028.4,0.74,56.4
34.32,77.85,27.47,19.6,114.8,1020.9,2.33,55.3
21.6,78.86,18.56,20.7,32.6,993.2,1.18,65.0
43.58,10.47,55.81,-2.3,62.8,1008.7,3.15,54.9
25.41,47.06,45.37,12.4,25.9,1024.4,1.12,43.6
64.32,23.57,35.06,27.7,79.3,1003.1,13.63,25.6
82.71,54.47,18.02,28.2,91.5,1016.2,0.87,77.3
59.89,52.59,33.08,24.1,43.5,1020.3,3.05,57.9
10.79,51.82,65.19,28.0,70.4,1014.0,4.26,34.1
60.14,32.89,84.04,12.2,30.5,1013.1,6.07,60.5
48.6,58.34,55.27,22.5,92.2,1023.4,0.68,71.9
54.46,54.78,10.81,8.3,35.0,1003.3,1.61,56.1
62.85,53.48,52.94,23.0,56.4,1015.7,12.73,34.7
59.09,46.49,56.35,15.3,53.3,1008.2,9.62,32.5
56.54,33.0,37.86,8.6,19.2,1029.6,5.56,78.1
60.28,92.98,50.95,-5.1,35.8,1018.1,2.66,76.9
24.33,49.67,15.51,2.5,71.1,1005.1,2.28,39.6
49.26,27.65,78.56,-7.1,37.8,1027.1,1.95,53.2
47.86,49.44,73.8,18.7,71.1,1020.0,13.59,21.8
19.28,43.72,47.67,20.5,63.3,1017.6,0.63,45.8
17.68,33.84,-7.05,27.7,56.6,1009.2,2.2,23.3
15.62,26.5,48.87,35.2,59.9,1018.4,12.82,10
90.17,55.86,-13.94,23.8,59.4,997.4,1.29,67.6
52.95,80.86,64.86,13.1,111.0,991.1,0.54,96.3
